date,open,high,low,close,volume,log_return
2024-10-01,184.9,186.19,183.45,185.13,36044906,
2024-10-02,184.44,186.6,184.04,184.76,23704100,-0.0020005954386805615
2024-10-03,183.05,183.44,180.88,181.96,30204302,-0.015270802860601217
2024-10-04,185.75,187.6,183.6,186.51,41079011,0.024697974247552355
2024-10-07,182.95,183.6,180.25,180.8,42364201,-0.03109340899127963
2024-10-08,181.92,183.09,180.92,182.72,26372100,0.010563478509569246
2024-10-09,182.82,185.85,182.05,185.17,26343117,0.013319395582079016
2024-10-10,187.13,188.13,185.83,186.65,27785043,0.007960883310868423
2024-10-11,186.63,189.93,186.3,188.82,25751600,0.01155897494377768
2024-10-14,189.78,189.83,187.36,187.54,22614407,-0.006802024312891354
2024-10-15,187.63,188.41,184.58,187.69,32178925,0.0007995096766793339
2024-10-16,187.05,187.78,185.61,186.89,23456812,-0.004271457185947329
2024-10-17,188.22,188.94,186.0,187.53,25039414,0.003418624129619526
2024-10-18,187.15,190.74,186.28,188.99,37417700,0.00775527099511555
2024-10-21,188.05,189.46,186.4,189.07,24639400,0.0004232132528913029
2024-10-22,188.35,191.52,186.98,189.7,29650600,0.003326560081130928
2024-10-23,188.85,189.16,183.69,184.71,31937100,-0.02665684934974001
2024-10-24,185.25,187.11,183.86,186.38,21647400,0.009000572766280971
2024-10-25,187.85,190.45,187.53,187.83,29362100,0.0077496980678194395
2024-10-28,189.57,190.21,188.21,188.39,27930836,0.00297698375195403
2024-10-29,188.58,191.46,187.82,190.83,35690200,0.012868697181539787
2024-10-30,194.7,195.61,192.42,192.73,37707600,0.00990726635213746
2024-10-31,190.51,190.6,185.23,186.4,75146800,-0.03339534345946928
2024-11-01,199.0,200.5,197.02,197.93,99687847,0.06001853058115288
2024-11-04,196.45,197.33,194.31,195.78,38492100,-0.01092185299935951
2024-11-05,196.04,199.82,195.99,199.5,30564800,0.018822656496633807
2024-11-06,200.01,207.55,199.14,207.09,72292200,0.037339245053575845
2024-11-07,207.44,212.25,207.19,210.05,52878400,0.01419211623189712
2024-11-08,209.72,209.96,207.44,208.18,36075846,-0.00894250752806874
2024-11-11,208.5,209.65,205.59,206.84,35456012,-0.006457542559301615
2024-11-12,208.37,209.54,206.01,208.91,38942918,0.009957989682937261
2024-11-13,209.4,215.09,209.14,214.1,46212943,0.024539658384679072
2024-11-14,214.16,215.9,210.88,211.48,42620309,-0.012312764228387701
2024-11-15,206.76,207.34,199.61,202.61,86591144,-0.042847482429189496
2024-11-18,204.15,204.67,200.95,201.7,36512500,-0.0045015039778938636
2024-11-19,199.33,205.3,198.78,204.61,31197900,0.014324283218301996
2024-11-20,202.98,203.13,199.45,202.88,32769000,-0.008491056929606819
2024-11-21,203.49,203.49,195.75,198.38,58800042,-0.022430287931013364
2024-11-22,198.25,199.26,196.75,197.12,31530844,-0.006371702972692671
2024-11-25,199.28,201.95,199.0,201.45,40685700,0.021728531292201227
2024-11-26,201.9,208.0,201.79,207.86,41673737,0.0313235645229195
2024-11-27,206.98,207.64,205.05,205.74,28061638,-0.010251540457391649
2024-11-29,205.83,208.2,204.59,207.89,24892447,0.010395857956138769
2024-12-02,209.96,212.99,209.51,210.71,39523200,0.013473686869693382
2024-12-03,210.31,214.02,209.65,213.44,32214828,0.01287298219854281
2024-12-04,215.96,220.0,215.75,218.16,48745716,0.021872975810074226
2024-12-05,218.03,222.15,217.3,220.55,41140220,0.01089568801361581
2024-12-06,220.75,227.15,220.6,227.03,44178100,0.028957740788585033
2024-12-09,227.21,230.08,225.67,226.09,46819400,-0.004149017251309016
2024-12-10,226.09,229.06,224.2,225.04,31199900,-0.004654985906623553
2024-12-11,226.41,231.2,226.26,230.26,35385800,0.022930941063916892
2024-12-12,229.83,231.09,227.63,228.97,28204100,-0.005618114639912515
2024-12-13,228.4,230.2,225.86,227.46,28768100,-0.0066165918493073725
2024-12-16,230.23,233.0,228.01,232.93,37552100,0.023763580486964548
2024-12-17,232.39,232.73,227.85,231.15,35948131,-0.00767112880902857
2024-12-18,230.77,231.4,220.11,220.52,43281443,-0.04707845671275159
2024-12-19,224.91,226.09,222.92,223.29,39918739,0.012482981318446182
2024-12-20,219.84,226.21,218.73,224.92,88279200,0.007273408384071898
2024-12-23,225.01,226.88,223.9,225.06,28070007,0.0006222498978500861
2024-12-24,226.94,229.14,226.13,229.05,15007500,0.017573287010900208
2024-12-26,228.5,228.5,226.67,227.05,16174500,-0.00877006278879104
2024-12-27,225.6,226.03,220.9,223.75,27367147,-0.014640900388995468
2024-12-30,220.06,223.0,218.43,221.3,28321240,-0.011010110097960732
2024-12-31,222.97,223.23,218.94,219.39,24819700,-0.008668279106034621
2025-01-02,222.03,225.15,218.19,220.22,33956600,0.003776078734475515
2025-01-03,222.51,225.36,221.62,224.19,27515606,0.017866859924863424
2025-01-06,226.78,228.84,224.84,227.61,31849831,0.015139731407784835
2025-01-07,227.9,228.38,221.46,222.11,28084200,-0.024460883367675646
2025-01-08,223.19,223.52,220.2,222.13,25033300,9.004141911351375e-05
2025-01-10,221.46,221.71,216.5,218.94,36811525,-0.014465076393119836
2025-01-13,218.06,219.4,216.47,218.46,27262700,-0.002194788261014159
2025-01-14,220.44,221.82,216.2,217.76,24711700,-0.0032093925122412274
2025-01-15,222.83,223.57,220.75,223.35,31291300,0.025346508894971788
2025-01-16,224.42,224.65,220.31,220.66,24757300,-0.012116992465967626
2025-01-17,225.84,226.51,223.08,225.94,42370123,0.0236464219666227
2025-01-21,228.9,231.78,226.94,230.71,39951500,0.020892033278734474
2025-01-22,232.02,235.44,231.19,235.01,41448217,0.018466555852769646
2025-01-23,234.1,235.52,231.51,235.42,26404400,0.0017430865540477031
2025-01-24,234.5,236.4,232.93,234.85,25890738,-0.002424140511330493
2025-01-27,226.21,235.61,225.86,235.42,49428332,0.002424140511330511
2025-01-28,234.29,241.77,233.98,238.15,41587200,0.0115295742625348
2025-01-29,239.02,240.39,236.15,237.07,26091716,-0.004545271071728406
2025-01-30,237.14,237.95,232.22,234.64,32020728,-0.010303031505945406
2025-01-31,236.5,240.29,236.41,237.68,36162400,0.012872806485156745
2025-02-03,234.06,239.25,232.9,237.42,37285900,-0.0010945065289643418
2025-02-04,239.01,242.52,238.03,242.06,29713812,0.01935490468506991
2025-02-05,237.02,238.32,235.2,236.17,38832042,-0.02463374462139765
2025-02-06,238.01,239.66,236.01,238.83,60897100,0.011200117079536328
2025-02-07,232.5,234.81,228.06,229.15,78075433,-0.04137519081346349
2025-02-10,230.55,233.92,229.2,233.14,35419926,0.017262320536553234
2025-02-11,231.92,233.44,230.13,232.76,23713726,-0.001631251703217151
2025-02-12,230.46,231.18,228.16,228.93,32285249,-0.016591599818817578
2025-02-13,228.85,230.42,227.52,230.37,31346512,0.006270432040910372
2025-02-14,229.2,229.89,227.23,228.68,27031100,-0.007363065614791294
2025-02-18,228.82,229.3,223.72,226.65,42975133,-0.008916669008912316
2025-02-19,225.52,226.83,223.71,226.63,28566709,-8.824567601914891e-05
2025-02-20,224.78,225.13,221.81,222.88,30001700,-0.016685221679343602
2025-02-21,223.28,223.31,214.74,216.58,55323900,-0.028673515831262143
2025-02-24,217.45,217.72,212.42,212.71,42387600,-0.018030258524674245
2025-02-25,211.63,213.34,204.16,212.8,58958000,0.0004230217919302169
2025-02-26,214.94,218.16,213.09,214.35,39120603,0.007257435576496708
2025-02-27,218.35,219.97,208.37,208.74,40548600,-0.026520734652080394
2025-02-28,208.65,212.62,206.99,212.28,51771737,0.016816699567788553
2025-03-03,213.35,214.01,202.55,205.02,42948447,-0.03479862260443867
2025-03-04,200.11,206.8,197.43,203.8,60853100,-0.005968414566631044
2025-03-05,204.8,209.98,203.26,208.36,38610100,0.022128232088366378
2025-03-06,204.4,205.77,198.3,200.7,49863800,-0.03745609707469844
2025-03-07,199.49,202.27,192.53,199.25,59802821,-0.007250938131967971
2025-03-10,195.6,196.73,190.85,194.54,62350926,-0.02392252022903023
2025-03-11,193.9,200.18,193.4,196.59,54002900,0.010482544278221042
2025-03-12,200.72,201.52,195.29,198.89,43679300,0.011631566355639908
2025-03-13,198.17,198.88,191.82,193.89,41270800,-0.025460920132241296
2025-03-14,197.41,198.65,195.32,197.95,38096700,0.020723485609225777
2025-03-17,198.77,199.0,194.32,195.74,47341800,-0.011227225554466057
2025-03-18,192.52,194.0,189.38,192.82,40414900,-0.01503013676143918
2025-03-19,193.38,195.97,191.96,195.54,39442900,0.014007850841290906
2025-03-20,193.07,199.32,192.3,194.95,38921113,-0.003021846648918817
2025-03-21,192.9,196.99,192.52,196.21,60056917,0.006442398803403915
2025-03-24,200.0,203.64,199.95,203.26,41625400,0.03530043347761008
2025-03-25,203.6,206.21,203.22,205.71,31171200,0.011981462254762397
2025-03-26,205.84,206.01,199.93,201.13,32991000,-0.02251594479925321
2025-03-27,200.89,203.79,199.28,201.36,27317700,0.001142885661930857
2025-03-28,198.42,199.26,191.88,192.72,52548226,-0.04385599252044459
2025-03-31,188.19,191.33,184.4,190.26,63547600,-0.012846800528305018
2025-04-01,187.86,193.93,187.2,192.17,41267315,0.009988839166024744
2025-04-02,187.66,198.34,187.66,196.01,53679200,0.019785281392848002
2025-04-03,183.0,184.13,176.92,178.41,95553617,-0.09408140595057173
2025-04-04,167.15,178.14,166.0,171.0,123159400,-0.04242071588395214
2025-04-07,162.0,183.41,161.38,175.26,109327115,0.0246070291250447
2025-04-08,185.23,185.9,168.57,170.66,87710400,-0.02659731251926574
2025-04-09,172.12,192.65,169.93,191.1,116804328,0.11312357813778856
2025-04-10,185.44,186.87,175.85,181.22,68302045,-0.05308508845231278
2025-04-11,179.93,185.86,178.0,184.87,50594339,0.01994111257043962
2025-04-14,186.84,187.44,179.23,182.12,48002540,-0.014987064897772767
2025-04-15,181.41,182.35,177.93,179.59,43642000,-0.01398933543593629
