date,open,high,low,close,volume,log_return
2024-10-01,151.46,156.4,149.49,154.22,12588800,
2024-10-02,153.76,154.85,152.84,152.89,4357023,-0.008661445832292298
2024-10-03,152.12,152.74,150.51,150.52,5704814,-0.015622742847285688
2024-10-04,152.26,155.0,150.85,155.0,6680591,0.02932915119401001
2024-10-07,155.0,158.76,154.68,155.91,6267900,0.005853800769213593
2024-10-08,155.99,156.7,154.14,154.65,5336300,-0.00811441855738154
2024-10-09,152.05,152.19,148.8,149.37,12488500,-0.03473804980887757
2024-10-10,149.07,149.11,146.26,146.62,11275836,-0.01858224352676057
2024-10-11,146.3,151.12,146.3,151.02,10688600,0.029568072579839073
2024-10-14,148.0,150.09,146.02,148.99,9737000,-0.013533088776031689
2024-10-15,150.5,153.95,148.55,152.35,11241700,0.022301315832470178
2024-10-16,151.91,154.99,151.34,154.9,8356210,0.01659924199110499
2024-10-17,155.0,157.14,154.25,155.31,6291800,0.0026433721590966896
2024-10-18,155.84,156.37,153.9,155.0,6030200,-0.0019980026626731087
2024-10-21,160.25,163.44,158.36,159.84,13277600,0.030748197980996747
2024-10-22,160.5,160.66,158.37,159.88,7380826,0.00025021894287929555
2024-10-23,160.0,161.47,153.53,157.06,15931500,-0.017795635896394123
2024-10-24,152.61,155.89,151.98,155.2,9774400,-0.011913290197610317
2024-10-25,156.2,157.48,154.52,155.01,8153000,-0.0012249767819154374
2024-10-28,153.5,155.2,150.61,150.69,20992500,-0.028264884537139878
2024-10-29,147.86,155.99,147.58,152.98,66387700,0.015082447463656968
2024-10-30,152.51,156.91,152.51,154.29,50738400,0.008526754561214578
2024-10-31,154.31,154.48,147.88,149.31,29388204,-0.03280926691636192
2024-11-01,152.78,156.0,151.23,154.59,18894509,0.03475176946967006
2024-11-04,154.62,156.72,152.46,155.07,10290400,0.0031001768678150417
2024-11-05,157.47,157.66,150.65,151.0,23126635,-0.026596791061133288
2024-11-06,152.3,153.2,144.13,147.16,28069300,-0.025759406578350744
2024-11-07,148.8,152.8,148.03,150.98,14709235,0.02562694747490504
2024-11-08,151.12,152.6,149.43,151.68,12996805,0.004625660795233094
2024-11-11,152.0,152.5,148.07,148.96,12799100,-0.01809522497795468
2024-11-12,148.4,148.5,143.85,145.17,16746700,-0.02577234405542016
2024-11-13,145.58,145.58,139.1,139.97,21249600,-0.03647735554078229
2024-11-14,140.8,141.55,137.22,138.14,15646710,-0.013160450271727735
2024-11-15,138.14,140.32,137.03,140.19,12120100,0.014730981719617673
2024-11-18,140.26,144.69,138.2,143.87,12259932,0.02591146866849721
2024-11-19,143.0,145.99,142.69,145.6,8247300,0.01195302171364379
2024-11-20,146.04,147.3,145.02,146.08,9232114,0.003291281084072952
2024-11-21,146.39,146.42,141.34,143.41,7845135,-0.018446756105537525
2024-11-22,143.61,150.34,143.49,149.29,13353100,0.04018306232437792
2024-11-25,150.7,153.28,150.26,153.1,11479406,0.025200579598139216
2024-11-26,152.5,153.14,149.8,150.76,8235000,-0.015402134264703417
2024-11-27,151.11,152.91,150.25,152.4,5210147,0.010819474853611346
2024-11-29,153.0,157.5,152.85,155.44,7100100,0.01975116181663861
2024-12-02,155.91,160.35,155.7,156.54,10097911,0.007051763307507459
2024-12-03,156.0,156.65,154.42,155.0,6130313,-0.009886451457445425
2024-12-04,155.88,160.2,154.21,158.28,9269316,0.020940499597976902
2024-12-05,158.5,160.02,156.05,156.67,7119832,-0.010223934111827872
2024-12-06,157.03,158.95,153.37,153.93,8182700,-0.01764372878341244
2024-12-09,154.27,161.95,154.27,157.04,13540021,0.020002596346222375
2024-12-10,160.0,166.68,159.42,164.1,17149200,0.043975448127839545
2024-12-11,165.52,169.3,164.38,165.96,13116634,0.011270797368621998
2024-12-12,168.23,168.82,165.65,167.75,10617736,0.010727980387124077
2024-12-13,168.0,170.43,166.33,169.65,9754901,0.01126271537844794
2024-12-16,168.09,175.2,166.1,173.17,13050714,0.020536279733820193
2024-12-17,173.04,175.79,171.71,173.03,13557100,-0.0008087810955023701
2024-12-18,173.28,177.94,171.0,172.62,15437200,-0.0023723430770454875
2024-12-19,175.0,179.58,173.72,177.04,14777100,0.025283048951282607
2024-12-20,176.86,182.0,175.31,177.35,23233700,0.001749485476836659
2024-12-23,178.12,179.65,174.29,177.69,8486421,0.0019152777373526474
2024-12-24,177.69,180.95,177.5,179.34,4317000,0.009242986566918084
2024-12-26,178.98,182.57,178.33,180.38,5917700,0.005782291213660617
2024-12-27,180.01,181.43,179.4,180.72,6806925,0.0018831354221856618
2024-12-30,173.72,178.17,170.15,176.55,18082312,-0.023344749785352392
2024-12-31,177.54,179.35,175.82,177.0,9748600,0.002545610199433596
2025-01-02,178.31,179.19,169.82,171.87,12450000,-0.029411355485232944
2025-01-03,171.4,173.98,169.8,169.9,10513800,-0.011528348410709762
2025-01-06,173.5,173.94,170.19,170.78,11133425,0.00516614980157376
2025-01-07,171.17,175.02,170.8,172.51,7045017,0.010079027326192785
2025-01-08,171.15,173.78,169.61,171.76,5108711,-0.004357052235127268
2025-01-10,171.49,173.54,167.41,172.0,7556800,0.0013963232429274324
2025-01-13,171.18,172.5,167.91,170.57,6049600,-0.008348707160671516
