date,open,high,low,close,volume,log_return
2024-10-01,95.19,95.85,93.32,94.05,10099234,
2024-10-02,93.59,94.58,93.59,94.15,6144200,0.0010626993561220547
2024-10-03,93.61,94.09,93.13,93.63,6180349,-0.005538410152363801
2024-10-04,94.3,95.34,93.89,95.15,6317333,0.016103748791360846
2024-10-07,95.09,95.14,91.76,92.39,11043614,-0.02943584605950476
2024-10-08,92.52,93.74,91.69,92.51,10209100,0.0012979991005735746
2024-10-09,91.86,94.01,91.46,93.6,8654500,0.011713636700318933
2024-10-10,93.72,93.88,92.69,92.99,6698039,-0.006538422993440422
2024-10-11,92.85,94.61,92.8,94.13,8089133,0.012184845069023018
2024-10-14,94.18,95.19,93.8,94.97,6262000,0.008884246695732258
2024-10-15,95.25,95.65,93.68,94.22,6535800,-0.007928578982966039
2024-10-16,93.73,96.79,93.63,96.75,9936300,0.026497858637996044
2024-10-17,96.93,97.33,95.61,96.54,9542501,-0.002172901677544287
2024-10-18,97.01,97.54,96.05,97.28,8609700,0.007635987985509903
2024-10-21,97.2,97.45,95.95,96.62,8189949,-0.006807659091596238
2024-10-22,96.2,97.26,96.2,96.74,5344307,0.0012412082685765093
2024-10-23,96.93,97.14,95.99,96.24,5388501,-0.0051818957284137535
2024-10-24,96.6,96.8,95.25,95.4,5015300,-0.008766493212182438
2024-10-25,95.81,96.85,95.01,95.03,6638148,-0.0038859472310169884
2024-10-28,95.22,96.69,95.21,96.2,8146400,0.012236726448436866
2024-10-29,96.26,96.62,95.68,96.13,6834439,-0.0007279155939360801
2024-10-30,95.7,96.71,94.94,95.08,7718201,-0.010982799585731588
2024-10-31,95.27,96.63,95.0,96.2,8147709,0.011710715179667647
2024-11-01,95.7,96.39,94.83,95.81,7944900,-0.004062294008878793
2024-11-04,95.83,96.02,95.03,95.79,6088036,-0.00020876826798153677
2024-11-05,95.6,96.67,95.25,96.63,6561725,0.008730956616416678
2024-11-06,98.21,99.55,98.21,98.89,11325100,0.02311886927068245
2024-11-07,98.78,99.52,98.13,98.93,7805138,0.00040440805323179314
2024-11-08,98.73,99.26,97.61,99.02,7982113,0.0009093205981456907
2024-11-11,99.0,100.9,99.0,100.86,9137900,0.018411566715302308
2024-11-12,100.55,101.29,99.5,100.99,9366216,0.0012880853898862917
2024-11-13,100.79,103.2,100.35,102.72,17701300,0.01698533790318546
2024-11-14,110.33,114.81,108.4,109.12,47436100,0.06044135415350093
2024-11-15,110.25,115.19,110.25,115.08,32048032,0.053179344588195045
