date,open,high,low,close,volume,log_return
2024-10-01,162.43,162.75,161.18,161.99,4408019,
2024-10-02,161.51,162.12,160.65,161.17,4684472,-0.0050748963974200185
2024-10-03,160.78,161.44,160.22,160.5,4791223,-0.004165765964556083
2024-10-04,159.63,160.5,158.78,160.29,5331694,-0.0013092679322809048
2024-10-07,160.25,160.86,159.22,159.53,4265971,-0.004752682324883434
2024-10-08,159.49,160.25,158.95,159.69,4766250,0.0010024435398695666
2024-10-09,159.92,161.22,159.51,160.65,6047269,0.005993649709091816
2024-10-10,161.36,161.39,160.0,160.51,4793889,-0.0008718396367412336
2024-10-11,162.18,162.66,161.2,161.46,5253459,0.005901188041743247
2024-10-14,161.4,162.14,160.9,161.6,5963961,0.0008667121201254465
2024-10-15,160.0,166.75,159.0,164.1,10547966,0.015351852009050168
2024-10-16,164.0,164.99,162.64,164.28,5982291,0.0010962909923127669
2024-10-17,164.26,165.0,163.63,164.47,4798238,0.0011558936648198507
2024-10-18,164.89,165.29,163.93,165.12,5908012,0.003944299540020217
2024-10-21,165.1,165.25,162.31,162.83,6082736,-0.013965770517068985
2024-10-22,162.32,163.73,161.9,163.45,5680612,0.003800421394090634
2024-10-23,162.82,166.0,162.42,165.86,7442026,0.014636925852838201
2024-10-24,165.0,165.51,163.34,163.67,5386525,-0.013291853505265296
2024-10-25,163.68,163.92,160.61,160.88,6400449,-0.017193460053395834
2024-10-28,161.13,161.97,161.0,161.6,4842653,0.004465400622598455
2024-10-29,161.46,162.17,160.06,160.09,5216879,-0.009387988996991852
2024-10-30,159.45,161.28,159.03,160.61,5820530,0.0032429089848028604
2024-10-31,159.99,160.87,159.46,159.86,8613860,-0.004680633876932906
2024-11-01,160.58,161.06,159.88,160.13,5256652,0.001687553136512203
2024-11-04,159.7,160.28,158.07,158.24,4644011,-0.0118731174599833
2024-11-05,157.67,158.59,156.35,158.35,6547074,0.0006949051102467378
2024-11-06,159.9,160.85,157.35,157.88,8926601,-0.002972522190002485
2024-11-07,158.47,158.75,156.51,156.73,7522812,-0.007310671128669593
2024-11-08,157.0,157.08,155.41,155.47,8926134,-0.008071792704327329
2024-11-11,155.62,157.58,154.91,155.04,7146759,-0.002769638819193373
2024-11-12,154.53,155.04,152.37,152.64,7181408,-0.015600940442479774
2024-11-13,152.5,153.51,151.42,153.24,7162233,0.003923112132471919
2024-11-14,153.18,153.59,150.76,151.87,7716385,-0.008980428090269667
2024-11-15,150.9,154.43,150.9,154.0,11328515,0.013927710671450435
2024-11-18,152.59,155.33,152.33,154.77,7514177,0.004987541511039188
2024-11-19,153.95,153.99,152.05,153.0,8233678,-0.011502222532232877
2024-11-20,153.03,153.25,151.81,153.11,9061274,0.00071869592456839
