date,open,high,low,close,volume,log_return
2024-10-01,208.9,209.09,206.19,207.04,8540100,
2024-10-02,207.08,208.95,205.69,207.29,5810931,0.0012067676988842555
2024-10-03,206.17,206.49,204.34,205.23,7251325,-0.009987477570403561
2024-10-04,209.3,211.67,206.91,211.22,10213415,0.02876894287731203
2024-10-07,211.03,213.33,209.69,210.93,6718900,-0.001373919439148658
2024-10-08,210.58,211.33,208.38,210.75,6021800,-0.0008537279972147978
2024-10-09,209.7,214.24,209.38,213.42,7024000,0.012589458306453968
2024-10-10,214.81,214.81,211.47,212.84,7927100,-0.002721345460250215
2024-10-11,215.67,224.63,215.16,222.29,18320700,0.04344212597464969
2024-10-14,223.2,223.7,218.88,221.48,9048925,-0.003650543748051991
2024-10-15,223.66,225.45,221.82,222.39,9235825,0.004100305381971735
2024-10-16,222.33,223.68,221.04,223.64,6382515,0.005605018821706479
2024-10-17,224.27,225.85,223.31,224.42,6470200,0.0034816800782755558
2024-10-18,225.0,225.92,223.1,225.37,7000543,0.004224199793854055
2024-10-21,225.22,225.7,222.9,223.0,5870000,-0.010571724570455536
2024-10-22,223.02,225.28,221.1,224.12,9586800,0.005009851236965039
2024-10-23,223.66,224.8,222.53,223.41,6180528,-0.0031729743064199123
2024-10-24,221.83,225.06,221.66,224.98,6002202,0.007002860974015946
2024-10-25,225.0,225.62,220.88,222.31,6369720,-0.011938705150779579
2024-10-28,223.35,225.64,222.95,225.5,6843000,0.0142473547288329
2024-10-29,225.21,226.75,222.81,222.9,6580004,-0.011596918550909815
2024-10-30,222.54,226.31,221.58,224.41,7110941,0.006751495543661943
2024-10-31,224.7,225.69,221.82,221.92,7829932,-0.011157779368963726
2024-11-01,223.56,226.15,222.7,222.94,6923500,0.004585720394955913
2024-11-04,222.65,223.76,219.17,219.78,8229600,-0.014275630942699433
2024-11-05,220.03,221.96,220.0,221.49,5600700,0.007750395720405856
2024-11-06,235.0,248.0,234.77,247.06,23987800,0.1092537803694838
2024-11-07,244.5,244.57,235.22,236.38,16451100,-0.044190542524573106
2024-11-08,239.34,239.34,235.78,236.98,9502100,0.0025350698044994207
2024-11-11,240.0,242.1,239.0,239.29,9017100,0.009700456102630718
2024-11-12,240.55,241.46,238.76,239.56,6861000,0.0011277019050372084
2024-11-13,240.58,244.09,240.31,241.16,11472600,0.006656706224943077
2024-11-14,242.42,244.29,241.05,241.87,10172202,0.002939778114550864
2024-11-15,241.46,246.42,241.46,245.31,11518836,0.01412232510623997
2024-11-18,247.76,247.93,242.68,245.03,9052600,-0.0011420648139411412
2024-11-19,242.25,245.15,241.55,243.09,6792700,-0.007948906887310874
2024-11-20,244.4,244.61,238.64,240.78,9015300,-0.009548091633863283
2024-11-21,243.23,245.49,242.11,244.76,8783516,0.016394485087459373
2024-11-22,243.61,249.15,243.03,248.55,7997307,0.015365893946341996
2024-11-25,249.59,254.31,249.06,250.29,10295400,0.006976213041411128
2024-11-26,250.49,251.0,248.34,249.97,6212142,-0.0012793349204223959
2024-11-27,249.35,251.19,248.77,249.79,5472300,-0.0007203457971165026
2024-11-29,249.86,251.77,249.45,249.72,5494825,-0.00028027467101044773
2024-12-02,249.55,250.25,245.03,246.25,8899741,-0.013993010141345089
2024-12-03,248.23,249.04,244.63,244.82,6657700,-0.00582403340483184
2024-12-04,244.7,245.35,242.23,243.4,7346300,-0.005817066093939537
2024-12-05,245.39,247.18,244.62,245.48,6572536,0.008509296967469292
2024-12-06,245.7,247.74,244.84,247.36,5519738,0.007629287878160908
2024-12-09,247.13,247.87,243.76,243.81,7076500,-0.014455531965834068
2024-12-10,243.89,247.96,242.22,242.86,9108339,-0.003904087807550155
2024-12-11,244.0,244.27,242.18,243.53,7884442,0.002754992593491101
2024-12-12,243.0,244.1,241.04,241.53,6113800,-0.008246449239164937
2024-12-13,242.07,242.72,239.14,239.94,10392749,-0.006604796893217131
2024-12-16,240.61,240.67,237.52,239.58,9032044,-0.0015015017835970255
2024-12-17,238.65,239.02,236.63,238.36,8083635,-0.005105254424406808
2024-12-18,239.0,239.07,229.53,230.37,11322400,-0.03409542386821635
2024-12-19,232.27,236.36,232.27,232.96,11790800,0.011180052997759232
2024-12-20,231.92,239.21,231.59,237.6,32348414,0.019721822480168644
2024-12-23,236.07,238.62,234.88,238.39,8611528,0.003319400514208951
2024-12-24,239.43,242.49,239.07,242.31,3729100,0.016309910119615915
2024-12-26,241.43,243.26,240.79,243.14,4452168,0.003419511005333185
2024-12-27,242.72,243.39,240.04,241.17,5730607,-0.008135330119668733
2024-12-30,238.77,240.84,237.11,239.32,5723800,-0.007700510486148104
2024-12-31,240.05,241.44,239.03,239.71,4871000,0.0016282908634877985
2025-01-02,240.92,243.28,239.45,240.0,9220914,0.0012090639566725628
2025-01-03,243.89,244.88,240.26,243.28,9491100,0.01357412002711795
2025-01-06,243.7,245.69,240.58,240.85,9917836,-0.010038710292879479
2025-01-07,242.14,245.26,240.9,243.17,8753400,0.00958645414373806
2025-01-08,242.75,244.25,240.5,243.13,8675300,-0.00016450750602587194
2025-01-10,243.09,243.81,238.74,239.87,10256829,-0.013499169793003129
2025-01-13,239.67,244.54,239.0,244.21,10005315,0.01793140095818557
2025-01-14,242.66,247.72,242.19,247.47,12407400,0.013260851661625746
2025-01-15,250.4,253.67,243.68,252.35,18448520,0.019527650245521357
2025-01-16,254.0,257.04,252.33,254.27,15292348,0.007579681782177362
2025-01-17,254.14,260.62,252.14,259.16,17678101,0.01904893701330782
2025-01-21,260.07,264.25,259.5,263.03,13712114,0.014822462531762495
2025-01-22,262.9,263.38,260.25,262.84,9021914,-0.0007226120838521344
2025-01-23,264.69,266.86,263.81,265.95,10749700,0.011762839158659446
2025-01-24,263.69,267.1,263.01,264.84,7666300,-0.004182451131681248
2025-01-27,264.17,265.97,262.26,265.9,7522300,0.0039944281923287904
