date,open,high,low,close,volume,log_return
2024-10-01,577.98,583.04,570.1,576.47,15259300,
2024-10-02,574.86,576.0,569.34,572.81,6524700,-0.006369226599159858
2024-10-03,570.15,583.36,568.73,582.77,11581000,0.017238523766664158
2024-10-04,583.73,596.85,581.43,595.94,14199788,0.022347393495463202
2024-10-07,598.22,602.95,584.04,584.78,12014200,-0.01890428273238833
2024-10-08,589.69,593.56,585.97,592.89,7857400,0.013773176196110088
2024-10-09,593.99,594.39,581.61,590.51,9529707,-0.004022314025411707
2024-10-10,587.57,590.23,582.52,583.83,7740449,-0.011376725733857463
2024-10-11,584.83,591.21,582.71,589.95,8587100,0.01042794298474486
2024-10-14,594.22,600.1,589.96,590.42,8252000,0.000796360505331413
2024-10-15,590.16,590.61,580.14,586.27,9564236,-0.007053713734085982
2024-10-16,581.4,582.08,574.03,576.79,11268400,-0.016302185528622715
2024-10-17,583.33,584.97,575.2,576.93,8701200,0.0002426932023145771
2024-10-18,581.1,583.97,575.25,576.47,7694300,-0.0007976417971022299
2024-10-21,576.03,577.24,569.11,575.16,8171900,-0.002275037234223207
2024-10-22,574.29,583.53,572.12,582.01,8544500,0.01183936675487077
2024-10-23,579.97,585.0,562.5,563.69,14248419,-0.03198317471682414
2024-10-24,567.13,568.88,561.52,567.78,7184700,0.007229564750609483
2024-10-25,573.93,581.29,571.72,573.25,11337900,0.00958790198981759
2024-10-28,582.0,583.75,574.12,578.16,10925131,0.008528725236711795
2024-10-29,580.15,593.67,575.4,593.28,13019100,0.02581581596271013
2024-10-30,600.98,601.2,589.38,591.8,26864925,-0.0024977229713264363
2024-10-31,585.0,589.9,563.01,567.58,26838400,-0.04178703138277454
2024-11-01,567.61,573.67,562.56,567.16,15303235,-0.0007402577139775416
2024-11-04,564.1,568.69,557.89,560.68,12064601,-0.011491118074500286
2024-11-05,567.3,573.48,566.67,572.43,9775400,0.020740124415503054
2024-11-06,562.75,573.0,555.17,572.05,18305429,-0.00066405706340718
2024-11-07,576.89,594.8,575.21,591.7,14653708,0.03377334953569559
2024-11-08,591.54,593.1,584.52,589.34,9415700,-0.003996482999957387
2024-11-11,586.36,587.0,576.51,583.17,10209100,-0.010524527640559894
2024-11-12,588.54,599.66,580.38,584.82,16287724,0.002825368535042679
2024-11-13,582.61,585.64,575.17,580.0,10757600,-0.008276004036708738
2024-11-14,577.0,580.76,573.01,577.16,11053743,-0.0049085791114100415
2024-11-15,571.22,572.57,551.5,554.08,17712900,-0.04081044377494302
2024-11-18,557.04,559.9,550.09,554.4,14346715,0.0005773672215816406
2024-11-19,551.86,561.43,550.6,561.09,9522445,0.011994872587325069
2024-11-20,562.93,566.35,554.2,565.52,9797339,0.00786434139968024
2024-11-21,569.52,570.0,549.05,563.09,11154749,-0.004306188594836072
2024-11-22,563.55,563.83,554.59,559.14,9164004,-0.007039584242243394
2024-11-25,562.1,572.59,556.39,565.11,13599830,0.010620513436618361
2024-11-26,566.0,577.5,565.2,573.54,10356600,0.014807278841488754
2024-11-27,574.89,574.98,564.1,569.2,7200228,-0.00759581508802874
2024-11-29,569.0,578.46,566.9,574.32,7130519,0.008954866052530373
2024-12-02,577.5,594.5,575.57,592.83,12522400,0.0317209477205934
2024-12-03,595.0,614.2,591.25,613.65,14907200,0.03451705305469628
2024-12-04,612.96,617.78,605.1,613.78,14697006,0.00021182470769990158
2024-12-05,617.08,619.9,607.05,608.93,8081212,-0.007933239176454627
2024-12-06,610.1,629.79,608.53,623.77,16935503,0.024078392105179123
2024-12-09,623.92,626.4,606.17,613.57,11426015,-0.016487353608317438
2024-12-10,617.56,625.59,612.74,619.32,10938900,0.009327744877011879
2024-12-11,623.37,638.4,621.53,632.68,10837228,0.021342663146651786
2024-12-12,631.5,636.66,627.21,630.79,7474717,-0.0029917630172881403
2024-12-13,627.22,631.08,616.89,620.35,8453349,-0.016689167189119277
2024-12-16,629.98,631.15,618.58,624.24,10885625,0.006251074919625285
2024-12-17,626.17,632.37,616.54,619.44,12897842,-0.007719065730037598
2024-12-18,621.0,627.36,596.32,597.19,17075500,-0.03658052336273788
2024-12-19,610.39,611.52,595.0,595.57,14958100,-0.0027163905498756545
2024-12-20,590.58,603.11,580.0,585.25,48989400,-0.017479823794834554
2024-12-23,589.6,601.09,586.25,599.85,10205800,0.02464051758991694
2024-12-24,602.72,607.99,599.28,607.75,4726100,0.013083989235295704
2024-12-26,605.48,606.3,598.94,603.35,6091239,-0.007266153676622919
2024-12-27,599.41,601.85,589.8,599.81,8084229,-0.005884521119606452
2024-12-30,588.75,596.94,585.58,591.24,7025900,-0.01439091205613131
2024-12-31,592.27,593.97,583.85,585.51,6019520,-0.009738764032651882
2025-01-02,589.72,604.91,587.82,599.24,12682300,0.023178923337960938
2025-01-03,604.76,609.5,596.41,604.63,11436800,0.008954515048361115
2025-01-06,611.83,630.99,605.62,630.2,14560800,0.04142052862563185
2025-01-07,631.7,632.1,608.23,617.89,12071500,-0.019726781235719498
2025-01-08,613.4,616.44,602.79,610.72,10085846,-0.011671859090535105
2025-01-10,610.03,629.91,597.34,615.86,19256600,0.008381075978967452
2025-01-13,607.1,608.97,598.45,608.33,10785031,-0.012302167094471872
2025-01-14,605.07,605.49,588.55,594.25,13598000,-0.023417391641111847
2025-01-15,610.21,622.46,606.5,617.12,15524302,0.03776338821961445
2025-01-16,611.5,616.25,609.71,611.3,8355349,-0.009475657425237989
2025-01-17,624.05,624.97,603.67,612.77,17280600,0.0024018245797596477
2025-01-21,617.83,621.5,609.01,616.46,11674016,0.006003776484356961
2025-01-22,623.3,633.7,619.43,623.5,12274011,0.01135532702129488
2025-01-23,627.36,636.6,621.15,636.45,9910200,0.02055709519635258
2025-01-24,636.4,652.0,634.2,647.49,19065329,0.017197489122545186
2025-01-27,626.61,663.87,625.1,659.88,28399200,0.018954650868734872
2025-01-28,666.0,682.58,659.47,674.33,20950107,0.021661605025962608
2025-01-29,675.0,681.05,665.67,676.49,21377820,0.0031980602019005986
2025-01-30,696.82,710.79,676.1,687.0,29322900,0.01541662668676246
2025-01-31,691.0,705.3,685.58,689.18,19331660,0.0031681928577205975
2025-02-03,675.91,704.0,675.25,697.46,21415739,0.01194267930075938
2025-02-04,702.5,707.71,691.61,704.19,13826300,0.009603041728076205
2025-02-05,703.55,718.14,699.01,704.87,17793766,0.0009651825369953045
2025-02-06,705.88,718.9,703.5,711.99,13080700,0.010050477723623365
2025-02-07,716.8,725.01,711.75,714.52,16427100,0.0035471222111592773
2025-02-10,718.56,721.2,711.33,717.4,12904317,0.004022576517498451
2025-02-11,713.32,723.66,710.04,719.8,12998000,0.0033398305467480277
2025-02-12,715.3,727.1,712.6,725.38,12016517,0.007722259828471806
2025-02-13,721.52,729.0,718.04,728.56,12569100,0.004374327786160911
2025-02-14,726.14,740.91,725.62,736.67,16901249,0.011070047460766216
2025-02-18,736.0,737.0,706.44,716.37,21938703,-0.027943237457499853
2025-02-19,704.1,707.0,695.39,703.77,17535500,-0.017745195029798135
2025-02-20,697.28,705.63,693.64,694.84,12587408,-0.012769994999308615
2025-02-21,696.58,703.87,682.36,683.55,15660400,-0.01638179685572152
2025-02-24,686.28,687.27,662.45,668.13,15677000,-0.022817040997133407
2025-02-25,665.97,668.0,641.86,657.5,20579700,-0.01603800132894821
2025-02-26,659.65,683.01,658.0,673.7,14488705,0.02434014391469451
2025-02-27,682.45,688.65,657.57,658.24,12500013,-0.02321530150202184
2025-02-28,658.04,669.63,642.6,668.2,17534200,0.015017923458063877
2025-03-03,673.68,681.25,650.84,655.05,10843800,-0.01987596132297666
2025-03-04,645.51,649.75,623.65,640.0,21495208,-0.023243392245962037
2025-03-05,641.0,659.5,637.66,656.47,13770026,0.025408819467619265
2025-03-06,648.0,650.56,624.11,627.93,13446500,-0.044448300533972265
2025-03-07,625.37,634.79,600.61,625.66,21375700,-0.0036216027267457623
2025-03-10,608.07,610.11,586.87,597.99,21999943,-0.045233061157834695
2025-03-11,595.05,614.93,593.33,605.71,17401500,0.012827292271176759
2025-03-12,629.9,633.33,609.35,619.56,15747000,0.022608225005597164
2025-03-13,620.25,620.5,586.51,590.64,16480324,-0.047802853928647915
2025-03-14,602.8,608.86,594.78,607.6,12364505,0.028310075970707733
2025-03-17,607.46,613.1,598.0,604.9,15473909,-0.004453615608749298
2025-03-18,600.05,600.25,574.66,582.36,20297708,-0.03797434190774337
2025-03-19,584.28,592.32,574.77,584.06,20537500,0.0029149040717650495
2025-03-20,582.76,610.2,579.51,586.0,24336505,0.0033160723001224137
2025-03-21,583.42,597.54,580.95,596.25,25015900,0.017340252625538424
2025-03-24,614.97,622.54,612.2,618.85,15741300,0.03720287478348046
2025-03-25,626.76,633.88,621.18,626.31,15312540,0.011982539206946568
2025-03-26,624.89,626.75,606.61,610.98,12661891,-0.024781230781348938
2025-03-27,602.0,614.25,600.1,602.58,10436524,-0.013843788778326389
2025-03-28,600.31,601.75,573.92,576.74,17602823,-0.043828878264647625
2025-03-31,563.5,578.7,553.3,576.36,21124700,-0.0006590929039217974
2025-04-01,570.84,589.91,570.0,586.0,12836600,0.01658732411227931
2025-04-02,574.91,592.66,573.36,583.93,13470800,-0.0035386769466294187
2025-04-03,546.22,552.56,530.3,531.62,34777500,-0.09385216422660766
2025-04-04,506.62,518.0,494.2,504.73,38589814,-0.051905315571891084
2025-04-07,485.1,539.37,481.9,516.25,36606136,0.022567511443357963
2025-04-08,543.25,547.43,502.86,510.45,28034211,-0.011298454660218083
2025-04-09,509.27,587.89,502.11,585.77,39216600,0.13763453144947493
2025-04-10,575.49,581.3,535.3,546.29,28173500,-0.06977725079100972
2025-04-11,535.51,547.4,528.59,543.57,17642327,-0.004991477157363785
2025-04-14,556.17,557.77,528.28,531.48,14130928,-0.022492925393018802
2025-04-15,532.11,537.94,517.5,521.52,15558700,-0.01891794310682335
2025-04-16,508.51,513.37,495.63,502.31,18735100,-0.03753016563719257
2025-04-17,505.25,507.3,498.01,501.48,14593508,-0.0016537327312668721
2025-04-21,491.33,493.5,479.8,484.66,16166000,-0.034116112075256756
2025-04-22,491.87,506.88,486.36,500.28,17399408,0.03172032750813811
2025-04-23,528.53,535.34,516.52,520.27,18173910,0.039179965910345664
2025-04-24,518.73,533.9,517.5,533.15,13910011,0.024454902873137205
2025-04-25,546.8,549.86,536.25,547.27,17098921,0.0261394716391862
2025-04-28,555.64,558.49,540.59,549.74,15179000,0.004503157079651366
2025-04-29,546.0,556.57,544.12,554.44,11835036,0.00851315616212623
2025-04-30,538.4,549.1,529.5,549.0,29244000,-0.009860153835621749
2025-05-01,592.08,592.95,570.5,572.21,31159033,0.04140761536061944
2025-05-02,583.46,604.34,578.33,597.02,24739300,0.04244455679883232
2025-05-05,591.22,603.21,588.05,599.27,13887724,0.0037616341407252017
2025-05-06,592.53,596.03,586.58,587.31,10600700,-0.020159458353146736
2025-05-07,590.36,603.08,586.67,596.81,13160976,0.016046015324780966
2025-05-08,606.29,611.3,596.62,598.01,14622805,0.0020086714374988094
2025-05-09,603.72,606.97,591.71,592.49,10427300,-0.009273480989114034
2025-05-12,630.92,640.39,621.03,639.43,21965100,0.0762431592819032
2025-05-13,645.54,660.92,642.83,656.03,18570821,0.02562936509411369
2025-05-14,661.21,662.67,654.31,659.36,12348200,0.005063147984763909
2025-05-15,654.28,657.31,638.58,643.88,14341835,-0.023757294252478602
2025-05-16,637.96,640.44,626.15,640.34,18519000,-0.005513088047634645
2025-05-19,628.25,643.0,627.8,640.43,9592400,0.0001405404563631099
2025-05-20,636.01,639.35,632.26,637.1,6743500,-0.005213196624314522
2025-05-21,631.79,646.61,630.17,635.5,11464600,-0.0025145384929337778
2025-05-22,634.05,643.25,630.71,636.57,8228443,0.0016822977546092288
2025-05-23,624.0,632.45,622.65,627.06,8454100,-0.01505215854965077
2025-05-27,635.41,643.08,632.75,642.32,9508400,0.024044392041961408
2025-05-28,642.6,650.88,642.55,643.58,9042900,0.0019597175569666097
2025-05-29,651.65,653.32,639.5,645.05,8883436,0.0022814937377501152
2025-05-30,642.5,649.41,632.78,647.49,16241000,0.003775516267843332
