date,open,high,low,close,volume,log_return
2024-10-01,428.45,428.48,418.81,420.69,19092945,
2024-10-02,422.58,422.82,416.71,417.13,16582300,-0.008498296592468231
2024-10-03,417.63,419.55,414.29,416.54,13686421,-0.001415428403330617
2024-10-04,418.24,419.75,414.97,416.06,19190913,-0.0011530147806335601
2024-10-07,416.0,417.11,409.0,409.54,20919800,-0.01579490200982246
2024-10-08,410.9,415.66,408.17,414.71,19229300,0.012544902158405345
2024-10-09,415.86,420.38,414.3,417.46,14974300,0.0066092505389408794
2024-10-10,415.23,417.35,413.15,415.84,13848400,-0.0038881604245801747
2024-10-11,416.14,417.13,413.25,416.32,14144944,0.001153624430960471
2024-10-14,417.77,424.04,417.52,419.14,16653100,0.006750797667656345
2024-10-15,422.18,422.48,415.26,418.74,18900201,-0.0009547907346815768
2024-10-16,415.17,416.36,410.48,416.12,15508932,-0.0062765220544207835
2024-10-17,422.36,422.5,415.59,416.72,14820004,0.0014408532342417256
2024-10-18,417.14,419.65,416.26,418.16,17145317,0.0034496009677303843
2024-10-21,416.12,418.96,413.75,418.78,14206115,0.0014815879595039864
2024-10-22,418.49,430.58,418.04,427.51,25482200,0.020631957551925872
2024-10-23,430.86,431.08,422.53,424.6,19654400,-0.0068301306469403964
2024-10-24,425.33,425.98,422.4,424.73,13581631,0.00030612365279741416
2024-10-25,426.76,432.52,426.57,428.15,16899100,0.008019928550247753
2024-10-28,431.66,431.94,426.3,426.59,14882444,-0.003650236872380932
2024-10-29,428.0,433.17,425.8,431.95,17644100,0.012486476205073024
2024-10-30,437.44,438.5,432.1,432.53,29749149,0.0013418473233082768
2024-10-31,415.36,416.16,406.3,406.35,53971000,-0.062436830928987566
2024-11-01,409.01,415.5,407.5,410.37,24230442,0.009844334570248713
2024-11-04,409.8,410.42,405.57,408.46,19672300,-0.004665201480450853
2024-11-05,408.37,414.9,408.08,411.46,17626011,0.007317819757072832
2024-11-06,412.42,420.45,410.52,420.18,26681842,0.020971380849396815
2024-11-07,421.28,426.85,419.88,425.43,19901800,0.0124172312458831
2024-11-08,425.32,426.5,421.78,422.54,16891414,-0.00681630526927575
2024-11-11,422.52,424.81,416.0,418.01,24503321,-0.010778761188517328
2024-11-12,418.25,424.44,417.2,423.03,19401204,0.01193774283367698
2024-11-13,421.64,429.33,418.21,425.2,21502200,0.005116547950544451
2024-11-14,425.0,428.17,420.0,426.89,30246900,0.00396672233213823
2024-11-15,419.82,422.8,413.64,415.0,28247644,-0.028247848569232886
2024-11-18,414.87,418.4,412.1,415.76,24742013,0.0018296504694880775
2024-11-19,413.11,417.94,411.55,417.79,18133529,0.004870743238754795
2024-11-20,416.87,417.29,410.58,415.49,19191700,-0.005520367321750931
2024-11-21,419.5,419.78,410.29,412.87,20780200,-0.00632577318241154
2024-11-22,411.37,417.4,411.06,417.0,24814626,0.009953448364022656
2024-11-25,418.38,421.08,414.85,418.79,27691100,0.004283379166561803
2024-11-26,419.59,429.04,418.85,427.99,23458900,0.021730229857498513
2024-11-27,425.11,427.23,422.02,422.99,18332444,-0.011751292717967056
2024-11-29,420.09,424.88,417.8,423.46,16271921,0.0011105205228955624
2024-12-02,421.57,433.0,421.31,430.98,20207223,0.01760262668697498
2024-12-03,429.84,432.47,427.74,431.2,18302000,0.0005103342800221258
2024-12-04,433.03,439.67,432.63,437.42,26009429,0.01432181233961893
2024-12-05,437.92,444.66,436.17,442.62,21697800,0.011817782189859459
2024-12-06,442.3,446.1,441.77,443.57,18821002,0.0021440105708975103
2024-12-09,442.6,448.33,440.5,446.02,19144400,0.005508169368808566
2024-12-10,444.39,449.62,441.6,443.33,18469500,-0.0060493803415409345
2024-12-11,444.05,450.35,444.05,448.99,19200208,0.012686202056882959
