date,open,high,low,close,volume,log_return
2024-10-01,121.77,122.44,115.79,117.0,302094500,
2024-10-02,116.44,119.38,115.14,118.85,221845900,0.015688259008446757
2024-10-03,120.92,124.36,120.34,122.85,277118000,0.033101905160985295
2024-10-04,124.94,125.04,121.83,124.92,244465552,0.016709433447689864
2024-10-07,124.99,130.64,124.95,127.72,346250233,0.02216683543170344
2024-10-08,130.26,133.48,129.42,132.89,285722500,0.03968135049683509
2024-10-09,134.11,134.52,131.38,132.65,246191612,-0.0018076377596675597
2024-10-10,131.91,135.0,131.0,134.81,242311337,0.016152299119223994
2024-10-11,134.01,135.78,133.66,134.8,170209500,-7.418122476598101e-05
2024-10-14,136.47,139.6,136.3,138.07,232347700,0.023968604449854193
2024-10-15,137.87,138.57,128.74,131.6,377831021,-0.04799378403684413
2024-10-16,133.98,136.62,131.58,135.72,264879720,0.030826921024812545
2024-10-17,139.34,140.89,136.87,136.93,306435921,0.008875906428113048
2024-10-18,138.67,138.9,137.28,138.0,176090200,0.007783838813062455
2024-10-21,138.13,143.71,138.0,143.71,264554514,0.04054369492895095
2024-10-22,142.91,144.42,141.78,143.59,226311600,-0.000835363779870015
2024-10-23,142.03,142.43,137.46,139.56,285930038,-0.028467399987712163
2024-10-24,140.82,141.35,138.46,140.41,172354900,0.006072097807977422
2024-10-25,140.93,144.13,140.8,141.54,205122109,0.008015648521087763
2024-10-28,143.0,143.14,140.05,140.52,173586745,-0.007232535250012294
2024-10-29,140.29,142.26,138.9,141.25,157593634,0.005181542628924041
2024-10-30,139.54,140.33,136.81,139.34,179418100,-0.013614380424577415
2024-10-31,137.6,137.61,132.11,132.76,270039641,-0.04837400275019902
2024-11-01,134.7,137.31,134.57,135.4,207127838,0.019690373626400793
2024-11-04,137.21,138.96,135.57,136.05,187528200,0.00478910475108063
2024-11-05,137.45,140.37,137.33,139.91,160537400,0.027976893515939023
2024-11-06,142.96,146.49,141.96,145.61,242043945,0.03993245597761879
2024-11-07,146.39,148.93,146.17,148.88,207323303,0.022208797611182083
2024-11-08,148.77,149.77,146.26,147.63,175665830,-0.008431468787998782
2024-11-11,148.68,148.85,143.57,145.26,182325620,-0.01618390336797439
2024-11-12,146.78,149.65,146.01,148.29,198634738,0.020644575808955484
2024-11-13,149.07,149.33,145.9,146.27,191903300,-0.01371558708798055
2024-11-14,147.64,149.0,145.55,146.76,194463301,0.0033443705880842637
2024-11-15,144.87,145.24,140.08,141.98,250132900,-0.03311239687584148
2024-11-18,139.5,141.55,137.15,140.15,221865993,-0.012972925000442384
2024-11-19,141.32,147.13,140.99,147.01,227834912,0.047787334065077465
2024-11-20,147.41,147.56,142.73,145.89,309871700,-0.0076476985920707645
2024-11-21,149.35,152.89,140.7,146.67,400946600,0.005332252174859755
2024-11-22,145.93,147.16,141.1,141.95,236406200,-0.03271028233968369
2024-11-25,141.99,142.05,135.82,136.02,344941900,-0.04267294917148743
2024-11-26,137.7,139.3,135.67,136.92,190287700,0.006594879914491771
2024-11-27,135.01,137.22,131.8,135.34,226370912,-0.011606682857905002
2024-11-29,136.78,139.35,136.05,138.25,141863200,0.021273509598364767
2024-12-02,138.83,140.45,137.82,138.63,171682800,0.0027448731478405524
2024-12-03,138.26,140.54,137.95,140.26,164414000,0.011689329558479629
2024-12-04,142.0,145.79,140.29,145.14,231224300,0.034200950741226366
2024-12-05,145.11,146.54,143.95,145.06,172621200,-0.0005513439147244115
2024-12-06,144.6,145.7,141.31,142.44,188505600,-0.01822659152568942
2024-12-09,138.97,139.95,137.13,138.81,189308625,-0.025814766822559045
2024-12-10,139.01,141.82,133.79,135.07,210020900,-0.02731292901434523
2024-12-11,137.36,140.17,135.21,139.31,184905200,0.03090850314546082
2024-12-12,137.08,138.44,135.8,137.34,159211400,-0.014242062525603194
2024-12-13,138.94,139.6,132.54,134.25,231514900,-0.022755869803556265
2024-12-16,134.18,134.4,130.42,132.0,237951130,-0.016901810802603254
2024-12-17,129.09,131.59,126.86,130.39,259410300,-0.012271963150990077
2024-12-18,133.86,136.7,128.28,128.91,277444533,-0.011415472980367396
2024-12-19,131.76,134.03,129.55,130.68,209719210,0.013637100277856131
2024-12-20,129.81,135.28,128.22,134.7,306528600,0.030298496683448774
2024-12-23,136.28,139.79,135.12,139.67,176053506,0.036232413901361615
2024-12-24,140.0,141.9,138.65,140.22,105157000,0.003930120461141762
2024-12-26,139.7,140.85,137.73,139.93,116519090,-0.002070320211199508
2024-12-27,138.55,139.02,134.71,137.01,170582603,-0.021088381702604804
2024-12-30,134.83,140.27,134.02,137.49,167734700,0.0034972713241252736
2024-12-31,138.03,138.07,133.83,134.29,155659211,-0.02354954659605856
2025-01-02,136.0,138.88,134.63,138.31,198247200,0.029495902043532696
2025-01-03,140.01,144.9,139.73,144.47,229322500,0.04357433090467342
2025-01-06,148.59,152.16,147.82,149.43,265377400,0.03375618221201188
2025-01-07,153.03,153.13,140.01,140.14,351782200,-0.06418613281091406
2025-01-08,142.58,143.95,137.56,140.11,227349948,-0.0002140945592475461
2025-01-10,137.45,139.92,134.22,135.91,207602514,-0.030434926415884248
2025-01-13,129.99,133.49,129.51,133.23,204808914,-0.01991594399513537
2025-01-14,136.05,136.38,130.05,131.76,195590500,-0.011094872102735659
2025-01-15,133.65,136.45,131.29,136.24,185217338,0.03343595048504809
2025-01-16,138.64,138.75,133.49,133.57,209235600,-0.019792351365419
2025-01-17,136.69,138.5,135.46,137.71,201188800,0.030524339750020613
2025-01-21,139.16,141.83,137.09,140.83,197749000,0.022403464470924412
2025-01-22,144.66,147.79,143.67,147.07,237651400,0.04335517470226335
2025-01-23,145.05,147.23,143.72,147.22,155915549,0.0010194027183375537
2025-01-24,148.37,148.97,141.88,142.62,234657635,-0.031744316030402245
2025-01-27,124.8,128.4,116.7,118.42,818830900,-0.18594612349652748
2025-01-28,121.81,129.0,116.25,128.99,579666400,0.08549725487341475
2025-01-29,126.5,126.89,120.05,123.7,467120640,-0.04187560257860255
2025-01-30,123.1,125.0,118.1,124.65,392925500,0.007650530571124667
2025-01-31,123.78,127.85,119.19,120.07,390372899,-0.03743490392694037
2025-02-03,114.75,118.57,113.01,116.66,371235700,-0.028811184717135074
2025-02-04,116.96,121.2,116.7,118.65,256550040,0.016914261556281014
2025-02-05,121.76,125.0,120.76,124.83,263110629,0.050774828781187074
2025-02-06,127.42,128.77,125.21,128.68,251483600,0.030375890707866154
2025-02-07,129.22,130.37,125.0,129.84,228186300,0.008974220835510088
2025-02-10,130.09,135.0,129.96,133.57,216989100,0.028322761782678136
2025-02-11,132.58,134.48,131.02,132.8,178902400,-0.0057814479466803586
2025-02-12,130.02,132.24,129.08,131.14,160278600,-0.012578782206860298
2025-02-13,131.56,136.5,131.17,135.29,197430000,0.03115516777979548
2025-02-14,136.48,139.25,135.5,138.85,195479600,0.025973591137539755
2025-02-18,141.27,143.44,137.93,139.4,219176627,0.003953284573615142
2025-02-19,139.51,141.36,137.22,139.23,167536006,-0.0012202564052294857
2025-02-20,140.03,140.66,136.79,140.11,143903600,0.006300586461946142
2025-02-21,140.04,141.46,134.03,134.43,228217600,-0.04138421091697873
2025-02-24,136.56,138.59,130.08,130.28,251381137,-0.03135763705812865
2025-02-25,129.98,130.2,124.44,126.63,271428711,-0.028416531945515723
2025-02-26,129.99,133.73,128.49,131.28,322553814,0.03606299831931836
2025-02-27,135.0,135.01,120.01,120.15,443175846,-0.08859148459935746
2025-02-28,118.02,125.09,116.4,124.92,389091145,0.03893257023239987
2025-03-03,123.51,123.7,112.28,114.06,411381400,-0.09094890668648509
2025-03-04,110.65,119.31,110.11,115.99,398163305,0.01677935476539195
2025-03-05,117.58,118.28,114.51,117.3,284337900,0.011230775165644994
2025-03-06,113.53,115.35,110.22,110.57,321181900,-0.05908595110511936
