date,open,high,low,close,volume,log_return
2024-10-01,573.4,574.06,566.0,568.62,72668800,
2024-10-02,567.71,569.9,565.27,568.86,38097800,0.00042198544776417637
2024-10-03,567.36,569.8,565.49,567.82,40846500,-0.0018298910690843348
2024-10-04,572.35,573.36,568.1,572.98,42939100,0.009046345002780202
2024-10-07,571.3,571.96,566.63,567.8,49964700,-0.009081568052748004
2024-10-08,570.42,573.78,569.53,573.17,37398700,0.009413112792512116
2024-10-09,573.16,577.71,572.55,577.14,37912200,0.0069025145611961705
2024-10-10,575.77,577.58,574.49,576.13,44138100,-0.0017515417174031708
2024-10-11,576.05,580.33,575.91,579.58,42268000,0.0059703736197406964
2024-10-14,581.22,585.27,580.73,584.32,36217200,0.008145074671632304
2024-10-15,584.59,584.9,578.54,579.78,54203600,-0.0078000567272769284
2024-10-16,579.78,582.83,578.96,582.3,30725400,0.004337057603802122
2024-10-17,585.91,586.12,582.16,582.35,34393700,8.586270558673028e-05
2024-10-18,584.07,585.39,582.58,584.59,37416800,0.003839105268871988
2024-10-21,583.85,584.85,580.6,583.63,36439000,-0.0016435264181308073
2024-10-22,581.05,584.5,580.38,583.32,34183800,-0.0005312995540377734
2024-10-23,581.26,581.71,574.42,577.99,49314600,-0.009179353360714041
2024-10-24,579.98,580.06,576.57,579.24,34979900,0.0021603319757513505
2024-10-25,581.51,584.46,578.08,579.04,47268200,-0.00034533964496960936
2024-10-28,582.58,582.71,580.52,580.83,30174700,0.0030865552537514716
2024-10-29,579.85,582.91,578.43,581.77,42899700,0.001617065551064632
2024-10-30,581.29,583.32,579.29,580.01,41435800,-0.0030298358491037914
2024-10-31,575.56,575.63,568.44,568.64,60182500,-0.01979779980485798
2024-11-01,571.32,575.55,570.62,571.04,45667500,0.00421171477556377
2024-11-04,571.18,572.5,567.89,569.81,38217000,-0.002156287814492032
2024-11-05,570.74,576.74,570.52,576.7,39478300,0.0120192286940089
2024-11-06,589.2,591.93,585.39,591.04,68182000,0.024561496389508077
2024-11-07,593.08,596.65,593.0,595.61,47233200,0.00770239344983837
2024-11-08,596.17,599.64,596.17,598.19,46444900,0.004322338778288734
2024-11-11,599.81,600.17,597.0,598.76,37586800,0.0009524208080329197
2024-11-12,598.68,599.29,594.37,596.9,43006100,-0.0031112548724308913
2024-11-13,597.37,599.23,594.96,597.19,47388600,0.00048572554112622993
2024-11-14,597.32,597.81,592.65,593.35,38904100,-0.006450876604582226
2024-11-15,589.72,590.2,583.86,585.75,75988800,-0.012891366723243088
2024-11-18,586.22,589.49,585.34,588.15,37001700,0.004088940018545213
2024-11-19,584.71,591.04,584.03,590.3,49412000,0.0036488648401933068
2024-11-20,590.38,590.79,584.63,590.5,50032600,0.00033875339077332414
2024-11-21,593.4,595.12,587.45,593.67,46750300,0.005353973791504906
2024-11-22,593.66,596.15,593.15,595.51,38226400,0.0030945718366895045
2024-11-25,599.52,600.86,595.2,597.53,42441400,0.0033863104846350504
2024-11-26,598.8,601.33,598.07,600.65,45621300,0.00520791041713731
2024-11-27,600.46,600.85,597.28,598.83,34000200,-0.0030346506764830764
2024-11-29,599.66,603.35,599.38,602.55,30177400,0.006192897982499703
2024-12-02,602.97,604.32,602.47,603.63,31746000,0.0017907779744643418
2024-12-03,603.39,604.16,602.34,603.91,26906600,0.00046375276184341897
2024-12-04,605.63,607.91,604.95,607.66,42787600,0.006190334813620189
2024-12-05,607.66,608.48,606.3,606.66,28762200,-0.001647012691966246
2024-12-06,607.44,609.07,607.02,607.81,31241500,0.0018938307965044219
2024-12-09,607.69,607.86,604.08,604.68,34742700,-0.005162940647360091
2024-12-10,605.37,605.8,602.13,602.8,37234500,-0.0031139257281666607
2024-12-11,605.78,608.43,605.5,607.46,28677700,0.007700862673177611
2024-12-12,606.58,607.16,604.33,604.33,31543800,-0.005165923073789681
2024-12-13,606.4,607.13,602.81,604.21,35904700,-0.00019858672513011795
2024-12-16,606.0,607.78,605.21,606.79,43695200,0.004260947817455216
2024-12-17,604.19,605.17,602.89,604.29,55773500,-0.004128552285611204
2024-12-18,603.98,606.41,585.89,586.28,108248700,-0.030256723999342438
2024-12-19,591.36,593.0,585.85,586.1,85919500,-0.0003070676767162298
2024-12-20,581.77,595.75,580.91,591.15,125716700,0.008579368826738666
2024-12-23,590.89,595.3,587.66,594.69,57635800,0.005970469061106944
2024-12-24,596.06,601.34,595.47,601.3,33160100,0.011053716675293576
2024-12-26,599.5,602.48,598.08,601.34,41219100,6.652032198299545e-05
2024-12-27,597.54,597.78,590.76,595.01,64969300,-0.01058228624041855
2024-12-30,587.89,591.74,584.41,588.22,56578800,-0.011477184545126546
2024-12-31,589.91,590.64,584.42,586.08,57052700,-0.003644728551456477
2025-01-02,589.39,591.13,580.5,584.64,50204000,-0.002460025840862423
2025-01-03,587.53,592.6,586.43,591.95,37888500,0.012425898668003484
2025-01-06,596.27,599.7,593.6,595.36,47679400,0.005744092740666969
2025-01-07,597.42,597.75,586.78,588.63,60393100,-0.011368461698192505
2025-01-08,588.7,590.58,585.2,589.49,47304700,0.0014599534050094873
2025-01-10,585.88,585.95,578.55,580.49,73105000,-0.015385181844416077
2025-01-13,575.77,581.75,575.35,581.39,47910100,0.0015492136537416299
2025-01-14,584.36,585.0,578.35,582.19,48420600,0.0013750668214543903
2025-01-15,590.33,593.94,589.2,592.78,56900200,0.018026480285188926
2025-01-16,594.17,594.35,590.93,591.64,43319700,-0.0019249934179293732
2025-01-17,596.96,599.36,595.61,597.58,58070600,0.00998982425325709
2025-01-21,600.67,603.06,598.67,603.05,42532900,0.009111945972825356
2025-01-22,605.92,607.82,605.36,606.44,48196000,0.005605683184129089
2025-01-23,605.8,609.75,605.52,609.75,41152100,0.0054432418826487715
2025-01-24,609.81,610.78,606.8,607.97,34604700,-0.0029234984524875406
2025-01-27,594.81,599.69,594.64,599.37,70361100,-0.01424643506357488
2025-01-28,600.62,605.37,597.25,604.52,44433300,0.008555651121952734
2025-01-29,603.72,604.13,599.22,601.81,37177400,-0.004492973827814843
2025-01-30,603.96,606.6,600.72,605.04,39281300,0.005352790673669038
