date,open,high,low,close,volume,log_return
2024-10-01,262.67,263.98,248.53,258.02,87397613,
2024-10-02,247.55,251.16,241.5,249.02,93983930,-0.035503886772723904
2024-10-03,244.48,249.79,237.81,240.66,80729240,-0.03414806551425008
2024-10-04,246.69,250.96,244.58,250.08,86726285,0.038395717663150135
2024-10-07,249.0,249.83,240.7,240.83,68113300,-0.03768957628092393
2024-10-08,243.56,246.21,240.56,244.5,56303200,0.01512401852268412
2024-10-09,243.82,247.43,239.51,241.05,66289529,-0.01421092806329535
2024-10-10,241.81,242.79,232.34,238.77,83087100,-0.009503635365763584
2024-10-11,220.13,223.34,214.38,217.8,142628900,-0.09192353498700753
2024-10-14,220.13,221.91,213.74,219.16,86291923,0.006224846171354841
2024-10-15,220.01,224.26,217.12,219.57,62988800,0.001869031611030553
2024-10-16,221.4,222.82,218.93,221.33,49632824,0.007983712172708319
2024-10-17,221.59,222.08,217.9,220.89,50791800,-0.0019899604052187403
2024-10-18,220.71,222.28,219.23,220.7,49611900,-0.000860526786044482
2024-10-21,218.9,220.48,215.73,218.85,47329000,-0.008417749625786385
2024-10-22,217.31,218.22,215.26,217.97,43268741,-0.004029124996483115
2024-10-23,217.13,218.72,212.11,213.65,80938900,-0.02001827655038726
2024-10-24,244.68,262.12,242.65,260.48,204491903,0.19818692072414162
2024-10-25,256.01,269.49,255.32,269.19,161611931,0.03289136716390039
2024-10-28,270.0,273.54,262.24,262.51,107653603,-0.025128273433907493
2024-10-29,264.51,264.98,255.51,259.52,80521800,-0.011455405617120409
2024-10-30,258.04,263.35,255.82,257.55,53993600,-0.007619894915453808
2024-10-31,257.99,259.75,249.25,249.85,66575300,-0.03035313822138033
2024-11-01,252.04,254.0,246.63,248.98,57544800,-0.0034881658365741998
2024-11-04,244.56,248.9,238.88,242.84,68802400,-0.02496978169140659
2024-11-05,247.34,255.28,246.21,251.44,69282505,0.034801602227078884
2024-11-06,284.67,289.59,275.62,288.53,165228710,0.1375946741878407
2024-11-07,288.89,299.75,285.52,296.91,117309232,0.02862999589955675
2024-11-08,299.14,328.71,297.66,321.22,204782800,0.07869718405804184
2024-11-11,346.3,358.64,336.0,350.0,210521625,0.08580690784870816
2024-11-12,342.74,345.84,323.31,328.49,155726016,-0.06342675842244742
2024-11-13,335.85,344.6,322.5,330.24,125405600,0.005313266792131249
2024-11-14,327.69,329.98,310.37,311.18,120726109,-0.059448139966326516
2024-11-15,310.57,324.68,309.22,320.72,114440300,0.030196945447434963
2024-11-18,340.73,348.55,330.01,338.74,126547500,0.05466438312872354
2024-11-19,335.76,347.38,332.75,346.0,88852500,0.021205923594749047
2024-11-20,345.0,346.6,334.3,342.03,66340700,-0.01154032254398627
2024-11-21,343.81,347.99,335.28,339.64,58011719,-0.00701221938257535
2024-11-22,341.09,361.53,337.7,352.56,89140722,0.03733458740256899
2024-11-25,360.14,361.93,338.2,338.59,95890900,-0.040430884643526475
2024-11-26,341.0,346.96,335.66,338.23,62295900,-0.0010637984514345806
2024-11-27,341.8,342.55,326.59,332.89,57896439,-0.015914032359738598
2024-11-29,336.08,345.45,334.65,345.16,37167621,0.03619597256107492
2024-12-02,352.38,360.0,351.15,357.09,77986500,0.03397977320779128
2024-12-03,351.8,355.69,348.2,351.42,58267200,-0.016005761518152094
2024-12-04,353.0,358.1,348.6,357.93,50810900,0.018355347226072672
2024-12-05,359.87,375.43,359.5,369.49,81403600,0.03178623986675331
2024-12-06,377.42,389.49,370.8,389.22,81455834,0.052021060030447104
2024-12-09,397.61,404.8,378.01,389.79,96359200,0.0014633961097356308
2024-12-10,392.68,409.73,390.85,400.99,97563600,0.028328356777005705
2024-12-11,409.7,424.88,402.38,424.77,104287600,0.05761135662522874
2024-12-12,424.84,429.3,415.0,418.1,87752225,-0.015827207602469726
2024-12-13,420.0,436.3,415.71,436.23,89000200,0.04244898883098476
2024-12-16,441.09,463.19,436.15,463.02,114083811,0.05960062250406256
2024-12-17,475.9,483.99,457.51,479.86,131223000,0.03572414499470868
2024-12-18,466.5,488.54,427.01,440.13,149340800,-0.08642425687261295
2024-12-19,451.88,456.36,420.02,436.17,118566146,-0.009038062208218345
2024-12-20,425.51,447.08,417.64,421.06,132216200,-0.035256734269034695
2024-12-23,431.0,434.51,415.41,430.6,72698100,0.022404243587853444
2024-12-24,435.9,462.78,435.14,462.28,59551800,0.07099118317697786
2024-12-26,465.16,465.33,451.02,454.13,76651210,-0.017787267442065515
2024-12-27,449.52,450.0,426.5,431.66,82666821,-0.05074525933435054
2024-12-30,419.4,427.0,415.75,417.41,64941012,-0.03356928914049653
2024-12-31,423.79,427.93,402.54,403.84,76825121,-0.033050192277534286
2025-01-02,390.1,392.73,373.04,379.28,109710749,-0.0627440413189308
2025-01-03,381.48,411.88,379.45,410.44,95423329,0.07895503640014548
2025-01-06,423.2,426.43,401.7,411.05,85516534,0.0014851066041341062
2025-01-07,405.83,414.33,390.0,394.36,75699525,-0.04145066389130184
2025-01-08,392.95,402.5,387.4,394.94,73038805,0.0014696569223229571
2025-01-10,391.4,399.28,377.29,394.74,62287333,-0.0005065343032019352
2025-01-13,383.21,403.79,380.07,403.31,67580500,0.021478176683598593
2025-01-14,414.34,422.64,394.54,396.36,84565022,-0.01738260781886155
2025-01-15,409.9,429.8,405.66,428.22,81375500,0.07731419302033242
2025-01-16,423.49,424.0,409.13,413.82,68335200,-0.03420598553977623
2025-01-17,421.5,439.74,419.75,426.5,94991429,0.030181270260479016
2025-01-21,432.64,433.2,406.31,424.07,87320900,-0.005713830986724132
2025-01-22,416.81,428.0,414.59,415.11,60963342,-0.021354990595606967
2025-01-23,416.06,420.73,408.95,412.38,50690600,-0.0065982909878338734
2025-01-24,414.45,418.88,405.78,406.58,56427149,-0.0141645427686508
