date,open,high,low,close,volume,log_return
2024-10-01,80.68,81.53,80.44,81.27,16054249,
2024-10-02,80.99,80.99,80.12,80.43,16618300,-0.010389703849135686
2024-10-03,80.3,80.58,79.85,80.43,11640421,0.0
2024-10-04,80.05,81.11,79.85,80.94,11591388,0.0063208985317418165
2024-10-07,80.69,80.94,78.98,79.1,16791646,-0.02299526467411138
2024-10-08,79.62,79.82,79.07,79.71,15270000,0.0076821736662235525
2024-10-09,79.82,80.5,79.75,80.4,12413030,0.008619127745089075
2024-10-10,80.31,80.32,79.46,79.61,10812700,-0.009874463084433904
2024-10-11,79.7,80.13,79.37,80.1,9570734,0.006136140973826615
2024-10-14,80.05,80.51,79.76,80.29,9914500,0.0023692261222792513
2024-10-15,80.67,81.82,80.51,81.65,13276221,0.016796739219881437
2024-10-16,81.53,81.66,80.62,81.22,11123300,-0.005280297158322438
2024-10-17,81.27,81.5,80.65,80.89,9424705,-0.004071315228290475
2024-10-18,80.87,81.69,80.66,81.31,12324148,0.0051788031898849715
2024-10-21,81.23,81.55,80.72,80.81,9750400,-0.0061682899743899415
2024-10-22,81.11,82.23,80.83,82.02,12240149,0.014862399718556773
2024-10-23,81.89,83.34,81.8,83.27,13058244,0.015125220283814671
2024-10-24,82.96,83.32,82.58,83.04,11645900,-0.002765920830149339
2024-10-25,83.2,83.3,82.44,82.51,8959412,-0.00640292130132669
2024-10-28,82.75,83.08,82.47,82.75,7990200,0.0029045161409203954
2024-10-29,82.67,82.86,81.67,81.7,9682403,-0.012770012391215044
2024-10-30,81.6,81.83,81.3,81.39,9268824,-0.0038015865270071645
2024-10-31,81.29,82.44,81.22,81.95,15539000,0.006856889850888607
2024-11-01,82.53,82.53,81.54,82.19,12181833,0.0029243349705699003
2024-11-04,82.2,82.91,82.0,82.45,11731043,0.003158408845199229
2024-11-05,82.68,83.77,82.51,83.68,10612500,0.014807951311004808
2024-11-06,85.14,85.54,82.06,83.44,19974038,-0.00287218962409585
2024-11-07,83.72,84.39,83.42,83.85,12665800,0.004901677576700815
2024-11-08,84.28,85.42,84.23,84.83,14396543,0.01161976555042558
2024-11-11,84.95,85.41,84.12,84.21,10433200,-0.007335574777742617
2024-11-12,84.5,85.53,84.5,84.99,12860200,0.009219923468634086
2024-11-13,84.99,85.79,84.77,85.5,12802622,0.005982773432179657
2024-11-14,85.03,85.76,84.34,84.47,15740732,-0.012119934203309222
2024-11-15,84.53,84.78,83.94,84.25,17370602,-0.0026078725069342097
2024-11-18,84.82,84.85,83.66,84.08,25278121,-0.0020198426637753875
2024-11-19,86.23,88.29,85.91,86.6,36340900,0.029531088999693682
2024-11-20,86.6,87.2,85.91,87.18,18183200,0.006675131241857136
2024-11-21,87.45,88.64,86.93,88.39,18729222,0.01378389426260991
2024-11-22,89.41,90.91,88.93,90.44,23990645,0.02292780633691253
2024-11-25,90.5,90.95,89.06,89.5,25078633,-0.010448022128959355
2024-11-26,89.89,91.88,89.84,91.31,16657022,0.02002168534743899
2024-11-27,92.0,92.25,91.31,91.88,14358900,0.006223067192648634
2024-11-29,92.26,92.64,91.82,92.5,11041200,0.0067252666974820735
2024-12-02,92.82,92.99,91.95,92.64,17173000,0.0015123693063056765
2024-12-03,92.78,93.59,92.26,93.51,17775226,0.009347368622670328
2024-12-04,93.45,94.52,93.05,94.45,17312600,0.010002211500163017
2024-12-05,94.89,95.6,94.34,95.3,21932325,0.008959216712637767
2024-12-06,95.54,96.18,95.33,95.7,18803500,0.004188487798752214
2024-12-09,95.66,95.94,93.6,93.83,20931100,-0.019733664156950364
2024-12-10,94.05,95.24,93.77,94.55,13164500,0.007644160802508128
2024-12-11,94.54,95.69,94.5,94.96,19682100,0.004326955196945964
2024-12-12,95.68,95.72,94.09,94.09,14298626,-0.009203979282738226
2024-12-13,93.8,94.68,93.04,94.25,11495900,0.0016990553094458141
2024-12-16,94.42,95.71,94.1,94.87,16742000,0.006556707076665304
2024-12-17,95.14,95.49,94.32,95.42,23560821,0.005780666683175455
2024-12-18,95.34,95.9,93.13,93.55,24665600,-0.01979214736786233
2024-12-19,94.48,94.57,93.36,93.4,16606501,-0.0016047074853015463
2024-12-20,93.01,93.75,91.63,92.24,49350600,-0.012497469273993445
2024-12-23,91.5,91.5,88.91,90.35,26205400,-0.020702858922566104
2024-12-24,90.37,92.68,90.35,92.68,8992427,0.025461682525938115
2024-12-26,92.54,92.88,92.17,92.79,10997611,0.0011861758009124538
2024-12-27,92.13,92.35,91.03,91.66,11384400,-0.012252796284110088
2024-12-30,90.73,91.07,90.13,90.57,9790200,-0.011963046694120918
2024-12-31,90.57,90.94,90.06,90.35,11267700,-0.0024320153486196037
2025-01-02,89.98,90.6,89.52,90.0,14820438,-0.003881346707972383
2025-01-03,90.15,91.3,90.14,90.78,10834630,0.00862932669805442
2025-01-06,90.83,92.47,90.67,91.43,14519900,0.007134655148015732
2025-01-07,91.7,91.94,90.45,90.81,11238044,-0.006804240474598298
2025-01-08,91.11,91.85,90.82,91.8,13453627,0.010842885924707706
2025-01-10,92.49,93.58,92.2,93.0,18140900,0.012987195526811112
2025-01-13,92.12,92.43,91.1,91.53,18617100,-0.015932705756567918
2025-01-14,91.86,91.98,90.57,90.79,13549200,-0.008117640013022117
2025-01-15,91.07,91.73,90.81,91.34,17348200,0.006039660373187066
2025-01-16,91.5,91.72,90.12,91.3,13267723,-0.0004380201559302016
2025-01-17,92.07,92.26,91.05,91.94,15868213,0.006985402777159144
2025-01-21,92.48,94.24,92.31,93.08,23247500,0.012323148056009108
2025-01-22,93.77,94.0,92.52,93.23,15567100,0.0016102198745113888
2025-01-23,92.96,93.81,92.32,93.81,14198438,0.006201901829257233
2025-01-24,93.54,95.01,93.46,94.76,14973800,0.010075919152725184
2025-01-27,95.9,97.46,94.82,97.4,18880614,0.027478831357904635
2025-01-28,97.23,97.84,96.73,97.29,14641621,-0.0011300016611530766
2025-01-29,97.43,98.17,97.22,97.5,11261444,0.0021561690164650636
2025-01-30,97.69,98.93,97.42,98.65,11012220,0.011725854464822993
2025-01-31,99.0,99.0,97.7,98.16,16413893,-0.004979432065968447
2025-02-03,96.77,99.79,96.47,99.54,20484200,0.01396077302775223
2025-02-04,99.97,100.95,99.69,100.77,15201200,0.01228111886190275
2025-02-05,100.65,102.58,100.54,102.46,15926717,0.01663178621874517
2025-02-06,102.53,103.02,101.94,102.85,13088500,0.003799137587909874
2025-02-07,103.0,103.11,101.11,101.15,12451100,-0.016667052485211647
2025-02-10,101.95,102.93,101.25,102.92,15274644,0.0173474237997889
2025-02-11,102.62,102.85,101.85,102.47,11953632,-0.004381914601916861
2025-02-12,102.12,103.9,102.04,103.61,15162125,0.011063777452033772
2025-02-13,104.0,105.24,103.53,105.05,12604413,0.013802577027348975
2025-02-14,105.3,105.3,103.6,104.04,14109500,-0.009660986710558504
2025-02-18,103.72,103.99,102.51,103.78,18247314,-0.0025021666408572823
