date,open,high,low,close,volume,log_return
2024-10-01,116.04,120.6,115.93,119.93,23235900,
2024-10-02,121.93,122.82,120.2,121.52,17129700,0.013170619043887577
2024-10-03,121.9,123.17,120.93,122.58,16524334,0.008685019770068374
2024-10-04,123.2,125.19,122.43,124.83,19759207,0.018188933605373943
2024-10-07,125.25,126.34,124.86,125.37,15714440,0.004316553464974221
2024-10-08,123.88,124.02,121.26,122.04,14818500,-0.02692050527946478
2024-10-09,120.9,122.58,120.8,122.09,11144900,0.00040961783229521054
2024-10-10,123.16,123.7,122.29,123.14,10243320,0.008563441802299926
2024-10-11,123.1,124.03,122.94,123.61,8294839,0.0038095284166676487
2024-10-14,123.24,124.26,122.62,124.08,9808122,0.0037950709685515343
2024-10-15,120.82,121.95,119.78,120.35,15771317,-0.030522354639202463
2024-10-16,120.89,121.44,120.6,120.66,8426800,0.0025725087835346792
2024-10-17,120.76,121.58,119.71,120.35,11204900,-0.0025725087835347265
2024-10-18,120.44,120.64,119.15,120.01,12898640,-0.002829091585730854
2024-10-21,120.98,121.48,119.72,120.08,10177800,0.0005831146818564907
2024-10-22,120.26,121.19,119.94,120.7,9201408,0.005149940778279435
2024-10-23,119.97,120.75,119.4,120.27,8320330,-0.0035689127809606057
2024-10-24,120.0,120.44,119.13,119.59,9905600,-0.005669989341809078
2024-10-25,120.2,120.43,119.32,119.49,10714600,-0.0008365401190535942
2024-10-28,116.79,119.01,116.77,118.9,11844545,-0.00494988216492635
2024-10-29,118.58,119.17,117.07,117.28,14731024,-0.013718565558394794
2024-10-30,117.66,118.27,116.48,116.69,12303738,-0.005043392320325461
2024-10-31,117.15,118.67,116.68,116.78,20512000,0.0007709770373756701
2024-11-01,119.93,119.95,114.84,114.95,20939321,-0.015794571646200996
2024-11-04,116.07,118.7,115.93,118.61,14965433,0.031343548831993744
2024-11-05,119.08,119.21,118.01,118.96,10436744,0.002946502110715118
2024-11-06,121.15,121.91,119.3,121.0,20807700,0.017003243444841415
2024-11-07,121.3,121.5,119.61,121.15,12184431,0.001238901665793613
2024-11-08,120.98,121.42,119.66,121.11,12836000,-0.0003302237295756134
2024-11-11,121.0,121.62,120.07,120.47,11969700,-0.005298464254197821
2024-11-12,121.13,121.31,119.84,120.35,11972802,-0.0009965950496804551
2024-11-13,120.57,122.05,118.8,121.47,15127900,0.009263154483098576
2024-11-14,121.66,121.88,120.33,120.56,13041845,-0.007519764393939448
2024-11-15,120.4,121.24,119.13,119.31,19051713,-0.010422406430531097
2024-11-18,119.79,120.62,119.27,120.31,14243701,0.008346597157724206
2024-11-19,119.75,119.75,118.2,118.63,11584400,-0.014062339372421285
2024-11-20,119.17,120.47,118.64,120.32,11360932,0.014145454528517825
2024-11-21,121.08,122.55,120.27,121.93,14675422,0.013292249370643888
2024-11-22,121.82,123.21,121.64,121.79,13323431,-0.001148859473154306
2024-11-25,121.43,121.88,119.61,119.97,26580300,-0.015056538572182561
2024-11-26,119.53,119.68,117.85,117.97,14827327,-0.01681135667308561
2024-11-27,118.09,118.73,117.43,117.66,11079122,-0.002631245417441253
2024-11-29,117.44,118.5,116.95,117.96,9426500,0.002546474510765457
2024-12-02,118.05,118.2,116.82,117.85,12687317,-0.000932954564935411
2024-12-03,118.72,118.72,117.26,117.67,11756600,-0.0015285329063025209
2024-12-04,117.5,117.55,113.86,114.28,19520600,-0.02923251911326526
2024-12-05,114.71,115.62,114.06,114.78,15751204,0.004365675317644187
2024-12-06,114.54,114.77,113.5,113.57,16171100,-0.01059786577666164
2024-12-09,114.64,114.94,112.75,112.9,17412600,-0.0059169157479385314
2024-12-10,113.59,113.88,111.75,112.67,20990943,-0.0020392789795417947
2024-12-11,112.0,112.39,111.11,111.92,32392238,-0.006678861818848809
2024-12-12,111.59,112.38,110.78,111.82,14543300,-0.0008938947587265393
2024-12-13,111.9,111.9,110.25,110.84,13106100,-0.008802715603721456
2024-12-16,110.2,110.4,108.16,108.47,20256100,-0.02161408294265154
2024-12-17,107.24,108.17,106.79,108.01,17554000,-0.004249821621743386
2024-12-18,107.57,108.83,106.31,106.42,17114542,-0.014830286262159514
2024-12-19,107.39,107.67,105.21,105.51,20565600,-0.008587794014222463
2024-12-20,105.45,106.14,104.84,105.87,40141200,0.0034061912012876418
2024-12-23,105.31,106.6,104.92,106.3,12285100,0.004053358992613698
2024-12-24,106.52,107.19,105.7,106.4,7807000,0.0009402915596419434
2024-12-26,106.52,107.03,105.94,106.49,9653408,0.000845507119748291
2024-12-27,106.3,107.99,105.77,106.48,11943906,-9.390994043614707e-05
2024-12-30,106.3,106.56,105.51,105.76,11080800,-0.006784797983480024
2024-12-31,106.17,107.9,105.78,107.57,12387800,0.016969422340537697
2025-01-02,108.28,109.0,106.88,107.31,12685447,-0.0024199565048779533
2025-01-03,108.0,108.49,107.46,107.86,14237900,0.005112247970044853
2025-01-06,108.24,109.78,107.52,107.74,15623700,-0.0011131726566933277
2025-01-07,108.94,110.06,108.28,108.75,12625900,0.009330752716405833
2025-01-08,107.31,107.71,106.01,106.93,17858110,-0.016877255200228133
2025-01-10,108.7,110.1,105.78,106.54,19304500,-0.003653913279712201
2025-01-13,107.13,109.63,107.13,109.29,17073400,0.025484398199729093
2025-01-14,108.79,109.76,107.83,109.72,11191200,0.003926766380820206
2025-01-15,110.05,111.73,109.47,111.51,14521100,0.016182606907868134
2025-01-16,111.19,111.69,110.55,111.32,10366600,-0.0017053363195805612
2025-01-17,111.03,112.87,110.82,112.32,19298504,0.008943003619810968
2025-01-21,112.05,112.18,111.13,111.47,20416300,-0.007596443875968777
2025-01-22,111.2,111.57,109.4,109.53,15718012,-0.0175570120658769
2025-01-23,110.31,111.14,109.61,110.15,13726800,0.005644588912696972
2025-01-24,110.24,110.71,108.41,108.66,14235900,-0.013619332124975179
2025-01-27,109.01,110.45,108.39,110.17,15926700,0.013800886228596522
2025-01-28,110.41,110.87,107.79,108.04,15862029,-0.019523098427558654
2025-01-29,107.71,108.78,107.47,108.67,12345523,0.005814238150345374
2025-01-30,109.24,109.85,108.7,109.57,14346335,0.008247847342541517
2025-01-31,110.55,110.55,106.1,106.83,20381446,-0.025324828459505826
2025-02-03,106.64,107.3,105.32,107.09,14623200,0.0024308164549877317
2025-02-04,106.71,110.28,106.53,109.96,14835700,0.026447060884261235
2025-02-05,109.74,110.01,109.1,109.88,13364400,-0.0007278020699718667
2025-02-06,110.77,111.05,107.99,108.43,13411401,-0.01328405774298248
2025-02-07,108.78,109.73,108.32,108.89,10051626,0.0042333948738790105
2025-02-10,110.01,111.03,109.88,110.97,12142200,0.018921696154502655
2025-02-11,111.6,112.51,110.82,111.67,12713127,0.0062881989452285335
2025-02-12,110.05,110.23,107.18,107.35,18244122,-0.0394535691329108
2025-02-13,107.15,108.41,106.52,108.13,15460000,0.007239682632655627
2025-02-14,108.52,110.23,108.1,108.24,15733529,0.001016776905086811
2025-02-18,108.63,110.99,108.32,110.14,20060300,0.017401299971802855
2025-02-19,110.76,112.13,110.06,110.3,10964700,0.0014516424251213907
2025-02-20,110.57,112.42,109.95,112.0,16325803,0.015294945035637861
2025-02-21,111.32,111.85,110.56,110.69,14710000,-0.011765369897561977
2025-02-24,110.93,111.86,110.32,111.27,13153500,0.00522617877207647
2025-02-25,111.3,112.13,108.89,109.73,14497000,-0.01393687716690131
2025-02-26,109.74,109.87,108.52,109.46,10446405,-0.0024636172869357213
2025-02-27,110.01,111.29,109.28,110.15,15293200,0.006283887532580132
2025-02-28,110.11,111.58,109.34,111.33,18821700,0.010655690492263692
2025-03-03,111.7,112.16,106.51,107.76,18706900,-0.032592231638507344
2025-03-04,106.36,108.96,105.94,107.54,19394905,-0.002043660720576557
2025-03-05,105.84,106.33,103.67,105.44,24822245,-0.019720800627335017
2025-03-06,105.43,108.11,104.36,107.62,17150233,0.020464433307076556
2025-03-07,108.41,110.4,108.3,109.02,19625000,0.012924847574861176
2025-03-10,109.28,112.57,109.08,111.8,22749100,0.02518020908486401
2025-03-11,111.92,112.1,108.79,109.16,19904735,-0.023896864880861016
2025-03-12,109.05,110.13,108.42,109.13,14051500,-0.00027486371513928305
2025-03-13,108.33,110.82,107.63,108.67,17767836,-0.004224065050238149
2025-03-14,108.94,112.18,108.31,111.9,15890100,0.029289848243119396
2025-03-17,111.8,114.5,111.73,113.76,19908800,0.016485350737051298
2025-03-18,114.09,114.54,112.57,113.64,15998713,-0.0010554090689436032
2025-03-19,114.2,115.82,113.83,115.41,17315001,0.015455448446326325
2025-03-20,114.72,116.47,114.21,115.9,16230800,0.004236744913392556
2025-03-21,115.5,115.99,114.35,115.5,41102800,-0.0034572203838577915
