date,open,high,low,close,volume,log_return
2025-03-03,241.79,244.03,236.11,238.03,47184000,
2025-03-04,237.71,240.07,234.68,235.93,53798100,-0.008861565289334124
2025-03-05,235.42,236.55,229.23,235.74,47227643,-0.0008056480601985587
2025-03-06,234.44,237.86,233.16,235.33,45170419,-0.001740718379554715
2025-03-07,235.11,241.37,234.76,239.07,46273600,0.0157676116588977
2025-03-10,235.54,236.16,224.22,227.48,72071200,-0.04969407363916757
2025-03-11,223.81,225.84,217.45,220.84,76137410,-0.029623865022754978
2025-03-12,220.14,221.75,214.91,216.98,62547500,-0.0176332740215393
2025-03-13,215.95,216.84,208.42,209.68,61368330,-0.034222624379153584
2025-03-14,211.25,213.95,209.58,213.49,60107600,0.018007434149081746
2025-03-17,213.31,215.22,209.97,214.0,48073426,0.0023860218576188547
2025-03-18,214.16,215.15,211.49,212.69,42432426,-0.006140308495397845
2025-03-19,214.22,218.76,213.75,215.24,54385400,0.01191797809476539
2025-03-20,213.99,217.49,212.22,214.1,48862947,-0.005310489025581843
2025-03-21,211.56,218.84,211.28,218.27,94127800,0.019289632955349155
2025-03-24,221.0,221.48,218.58,220.73,44299500,0.011207406602134005
2025-03-25,220.77,224.1,220.08,223.75,34493600,0.013589122001844327
2025-03-26,223.51,225.02,220.47,221.53,34532656,-0.009971336660380734
2025-03-27,221.39,224.99,220.56,223.85,37094800,0.01041816419239041
2025-03-28,221.67,223.81,217.68,217.9,39818617,-0.02693994273640031
2025-03-31,217.01,225.62,216.23,222.13,65299321,0.019226554118956955
2025-04-01,219.81,223.68,218.9,223.19,36412740,0.00476063056656272
2025-04-02,221.32,225.19,221.02,223.89,35905904,0.003131433175311838
2025-04-03,205.54,207.49,201.25,203.19,103419006,-0.09701335791648369
2025-04-04,193.89,199.88,187.34,188.38,125910913,-0.07568030250025096
2025-04-07,177.2,194.15,174.62,181.46,160466300,-0.037425955653188146
2025-04-08,186.7,190.34,169.21,172.42,120859500,-0.051101882959704026
2025-04-09,171.95,200.61,171.89,198.85,184395900,0.1426174108719208
2025-04-10,189.07,194.78,183.0,190.42,121880000,-0.04331861279615431
2025-04-11,186.1,199.54,186.06,198.15,87435915,0.03979216077889878
2025-04-14,211.44,212.94,201.16,202.52,101352911,0.021814327465264516
2025-04-15,201.86,203.51,199.8,202.14,51343900,-0.0018781204551920384
2025-04-16,198.36,200.7,192.37,194.27,59732423,-0.0397115825958271
2025-04-17,197.2,198.83,194.42,196.98,52164700,0.01385325669086682
2025-04-21,193.27,193.8,189.81,193.16,46742537,-0.019583339736215177
2025-04-22,196.12,201.59,195.97,199.74,52976400,0.03349765980964751
2025-04-23,206.0,208.0,202.8,204.6,52929200,0.024040332702537383
2025-04-24,204.89,208.83,202.94,208.37,47311000,0.018258492064582833
2025-04-25,206.37,209.75,206.2,209.28,38222300,0.004357722686725041
2025-04-28,210.0,211.5,207.46,210.14,38743100,0.004100906991795252
2025-04-29,208.69,212.24,208.37,211.21,36827633,0.005078923935421559
2025-04-30,209.3,213.58,206.67,212.5,52286500,0.006089089168420812
2025-05-01,209.08,214.56,208.9,213.32,57365700,0.003851397367929873
2025-05-02,206.09,206.99,202.16,205.35,101010621,-0.038077545329833914
