date,open,high,low,close,volume,log_return
2025-03-03,171.93,173.37,165.93,167.01,40770500,
2025-03-04,166.24,173.29,165.8,170.92,45388000,0.023141919912298
2025-03-05,170.52,173.78,169.06,173.02,30954922,0.012211583976404138
2025-03-06,170.53,174.81,170.5,172.35,28302000,-0.0038799017893539956
2025-03-07,171.26,174.97,170.27,173.86,27385813,0.008723084688043965
2025-03-10,168.26,168.46,163.69,165.87,43604027,-0.047046028632967044
2025-03-11,164.91,166.75,161.37,164.04,39587414,-0.011094048494092878
2025-03-12,166.58,167.64,163.53,167.11,28372400,0.018541977691432947
2025-03-13,166.04,166.13,162.11,162.76,31756214,-0.026375555081802213
2025-03-14,163.27,166.49,162.45,165.49,31995900,0.01663404689736287
2025-03-17,165.03,166.3,163.67,164.29,31184335,-0.00727761111260659
2025-03-18,163.68,164.25,156.72,160.67,42074800,-0.022280586863001734
2025-03-19,161.76,165.87,161.0,163.89,34275600,0.01984289902049226
2025-03-20,161.57,164.89,160.96,162.8,28138500,-0.006673017507295889
2025-03-21,161.21,164.24,160.89,163.99,36625800,0.007282996786914367
2025-03-24,167.07,168.32,165.14,167.68,30879129,0.022251950777323025
2025-03-25,168.98,170.63,168.32,170.56,24174400,0.01702973984480227
2025-03-26,169.0,169.61,164.84,165.06,28939326,-0.032778096812941554
2025-03-27,164.63,165.42,162.0,162.24,24508300,-0.017232323761719834
2025-03-28,160.49,161.82,153.63,154.33,48669335,-0.049983553490078235
2025-03-31,153.11,155.54,150.66,154.64,54603500,0.0020066679873352506
2025-04-01,153.62,158.1,153.62,157.07,30672900,0.015591730954865633
2025-04-02,155.15,158.41,154.7,157.04,25041730,-0.00019101588673531378
2025-04-03,151.11,152.78,150.39,150.72,46883400,-0.04107673914015268
2025-04-04,148.01,151.07,145.38,145.6,62259539,-0.034560675065467325
2025-04-07,141.55,152.85,140.53,146.75,76794136,0.007867322945620318
2025-04-08,151.22,152.24,143.03,144.7,52200208,-0.014067825070767731
2025-04-09,144.42,159.55,143.91,158.71,70406232,0.09241600388202922
2025-04-10,156.54,157.72,149.93,152.82,48022000,-0.03781787930004662
2025-04-11,152.9,157.67,152.82,157.14,33636239,0.02787636952825487
2025-04-14,160.0,161.72,157.56,159.07,30333000,0.01220722916259366
2025-04-15,159.13,159.65,155.21,156.31,27551534,-0.017503142002889244
2025-04-16,153.1,155.89,151.51,153.33,28187421,-0.01924875345908191
2025-04-17,154.29,154.68,148.5,151.16,33046600,-0.014253582967009737
2025-04-21,148.88,148.95,146.1,147.67,26049115,-0.023358823995605755
2025-04-22,148.89,152.19,148.54,151.47,26971800,0.025407531053251452
2025-04-23,155.61,157.53,153.81,155.35,31128833,0.02529305030012239
2025-04-24,156.15,159.59,155.79,159.28,45894000,0.024983023916884443
2025-04-25,165.07,166.1,161.04,161.96,56034000,0.016685731408019603
2025-04-28,162.43,163.15,158.6,160.61,29745800,-0.00837032508915442
2025-04-29,160.32,160.74,157.52,160.16,26809000,-0.0028057505078955863
2025-04-30,157.98,159.27,155.4,158.8,34981100,-0.008527766753874984
2025-05-01,160.45,161.95,158.91,161.3,30203248,0.015620436318127822
2025-05-02,163.41,164.97,161.87,164.03,25715005,0.016783352793231093
