date,open,high,low,close,volume,log_return
2025-03-03,123.51,123.7,112.28,114.06,411381400,
2025-03-04,110.65,119.31,110.11,115.99,398163305,0.01677935476539195
2025-03-05,117.58,118.28,114.51,117.3,284337900,0.011230775165644994
2025-03-06,113.53,115.35,110.22,110.57,321181900,-0.05908595110511936
2025-03-07,111.25,113.48,107.56,112.69,341755500,0.018991881409947647
2025-03-10,109.9,111.85,105.46,106.98,366487400,-0.051998784861153904
2025-03-11,106.99,112.24,104.77,108.76,354865700,0.01650171866116593
2025-03-12,114.12,116.76,112.88,115.74,323857500,0.06220267638142262
2025-03-13,117.03,117.76,113.79,115.58,299033131,-0.001383365256060755
2025-03-14,118.61,121.88,118.15,121.67,277593500,0.051349530909725834
2025-03-17,122.74,122.89,118.03,119.53,255501500,-0.017745075909468073
2025-03-18,118.0,119.02,114.54,115.43,299686944,-0.03490310026306866
2025-03-19,117.27,120.45,115.68,117.52,273426225,0.017944246238800962
2025-03-20,116.55,120.2,116.47,118.53,248829749,0.008557561225787148
2025-03-21,116.94,117.99,115.42,117.7,266498528,-0.0070270788251779615
2025-03-24,119.88,122.22,119.34,121.41,228452534,0.03103423328965286
2025-03-25,120.55,121.29,118.92,120.69,167447200,-0.005947972926077309
2025-03-26,118.73,118.84,112.71,113.76,296431667,-0.05913430857487569
2025-03-27,111.35,114.45,110.66,111.43,236902100,-0.020694374995968212
2025-03-28,111.49,112.87,109.07,109.67,229872549,-0.015920734286845054
2025-03-31,105.13,110.96,103.65,108.38,299212700,-0.01183228663414946
2025-04-01,108.52,110.2,106.47,110.15,222614034,0.016199503110384043
2025-04-02,107.29,111.98,106.79,110.42,220601243,0.0024482036075463964
2025-04-03,103.51,105.63,101.6,101.8,338769412,-0.08128117273947622
2025-04-04,98.91,100.13,92.11,94.31,532273810,-0.07642287556062889
2025-04-07,87.46,101.75,86.62,97.64,611041347,0.03470001696896592
2025-04-08,103.81,105.85,94.46,96.3,476243400,-0.013818926720679537
2025-04-09,98.89,115.1,97.53,114.33,612918336,0.17162068474979875
2025-04-10,109.37,110.86,99.15,107.57,437812400,-0.060947205109964556
2025-04-11,108.5,111.55,107.48,110.93,313417300,0.030757573306654296
2025-04-14,114.11,114.29,109.07,110.71,264705049,-0.0019852018791929812
2025-04-15,110.97,113.62,110.5,112.2,228966900,0.013368823217220485
2025-04-16,104.55,106.79,100.45,104.49,397016900,-0.07119162004257655
2025-04-17,104.45,104.47,100.05,101.49,292517500,-0.029131101585292748
2025-04-21,98.77,99.44,95.04,96.91,288501136,-0.046177558714268076
2025-04-22,98.78,99.81,97.28,98.89,241004800,0.020225408535440817
2025-04-23,104.52,104.8,102.02,102.71,247526000,0.03790136189581349
2025-04-24,103.48,106.54,103.11,106.43,220815041,0.03557800887524001
2025-04-25,106.85,111.92,105.73,111.01,251064700,0.04213279529160288
2025-04-28,109.69,110.37,106.02,108.73,207708500,-0.02075254233489772
2025-04-29,107.67,110.2,107.44,109.02,170444300,0.0026636066264767292
2025-04-30,104.47,108.92,104.08,108.92,235044611,-0.0009176838305759675
2025-05-01,113.08,114.94,111.3,111.61,236121507,0.024396983862064587
2025-05-02,114.18,115.4,113.37,114.5,190194800,0.025564171326670906
