date,open,high,low,close,volume,log_return
2025-03-03,596.18,597.34,579.9,583.77,74249200,
2025-03-04,579.71,585.39,572.25,576.86,109648200,-0.01190746688596688
2025-03-05,576.69,584.88,573.08,583.06,71230500,0.010690494254774401
2025-03-06,575.48,580.17,570.12,572.71,80094900,-0.017910616610670373
2025-03-07,570.9,577.39,565.63,575.92,81158800,0.005589281764736165
2025-03-10,567.59,569.54,555.59,560.58,99326600,-0.02699680012812802
2025-03-11,559.4,564.02,552.02,555.92,88102100,-0.008347563026847447
2025-03-12,562.17,563.11,553.69,558.87,69588200,0.005292488963655007
2025-03-13,558.49,559.11,549.68,551.42,74079400,-0.013420118728424427
2025-03-14,556.11,563.83,551.49,562.81,62660300,0.02044532414242739
2025-03-17,562.79,569.71,562.35,567.15,49008700,0.007681725621321671
2025-03-18,564.8,565.02,559.06,561.02,66041400,-0.010867263493937702
2025-03-19,562.83,570.95,561.63,567.13,66556000,0.010831998832651152
2025-03-20,563.33,570.57,562.6,565.49,62958200,-0.002895942409903512
2025-03-21,559.28,564.89,558.03,563.98,83763000,-0.0026738220574662338
2025-03-24,570.8,575.15,570.2,574.08,58766800,0.01774996955398149
2025-03-25,575.3,576.41,573.69,575.46,38355700,0.002400961537538268
2025-03-26,575.19,576.33,567.19,568.59,51848300,-0.012010108961596242
2025-03-27,567.18,570.9,564.94,567.08,42164200,-0.002659224756887704
2025-03-28,565.53,566.27,555.07,555.66,71662700,-0.020343790839198347
2025-03-31,549.83,560.71,546.87,559.39,95328200,0.00669030790181233
2025-04-01,557.45,562.94,553.68,560.97,54609600,0.002820523844933686
2025-04-02,555.05,567.42,554.81,564.52,76014500,0.00630838438882758
2025-04-03,545.11,547.97,536.7,536.7,125986000,-0.05053653336302296
2025-04-04,523.67,525.87,505.06,505.28,217965100,-0.060326548115506085
2025-04-07,489.19,523.17,481.8,504.38,256611400,-0.0017827788332160732
2025-04-08,521.86,524.98,489.16,496.48,165816600,-0.015786751533991002
2025-04-09,493.44,548.62,493.05,548.62,241867300,0.09986283357347388
2025-04-10,532.17,533.5,509.32,524.58,162331200,-0.04480809185268924
2025-04-11,523.01,536.43,520.07,533.94,97866300,0.017685530675971325
2025-04-14,544.05,544.28,533.86,539.12,68034000,0.009654707541135678
2025-04-15,539.67,543.23,536.81,537.61,56892900,-0.002804790411545598
2025-04-16,531.68,537.89,520.29,525.66,83484800,-0.02247877432008865
2025-04-17,527.64,531.17,523.91,526.41,79868100,0.0014257608848264034
2025-04-21,521.16,521.7,508.46,513.88,69368100,-0.02409060162774479
2025-04-22,520.14,529.3,519.19,527.25,75948100,0.025685044195475088
2025-04-23,540.43,545.43,533.88,535.42,90590700,0.015376666278090485
2025-04-24,536.72,547.43,535.45,546.69,64150400,0.02083042852909907
2025-04-25,546.65,551.05,543.69,550.64,61119600,0.007199323924035108
2025-04-28,551.39,553.55,545.02,550.85,47613800,0.0003813016959653287
2025-04-29,548.91,555.45,548.55,554.32,47775100,0.0062795975330518445
2025-04-30,547.57,556.52,541.52,554.54,93101500,0.00039680392995782374
2025-05-01,560.37,564.07,557.86,558.47,63186100,0.007061960508589742
2025-05-02,564.73,568.38,562.38,566.76,60717300,0.014735031938352542
